ratio_absorb,LIGHT,VDE_max_turnover_number,pKvde,VDE_Hill,kZE,pKPsbS,max_NPQ,pHstroma_initial,ATP_synthase_content,ATP_synthase_max_turnover,Thylakoid_membrane_capacitance,Volts_per_charge,c_subunits_per_ATP_synthase,n,perm_K,k_VCCN1,k_CLCE,max_b6f,pKreg,Em7_PC,Em7_PQH2,Em_Fd,k_NDH,lumen_protons_per_turnover,buffering_capacity,PSI_antenna_size,k_PC_to_P700,k_KEA,max_PSII,PSII_antenna_size,kQA,k_recomb,triplet_yield,triplet_to_singletO2_yield,light_per_L,k_Fd_to_NADP,k_CBC
0.1,2000,0.08,5.65,4,0.004,6.2,3,7.8,0.367,200,0.6,0.047,14,4.666666667,150,12,800000,300,6.2,0.37,0.11,-0.42,1000,0.000587,0.014,0.5,5000,2500000,1,0.5,1000,0.33,0.45,1,0,1000,60
0.1,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1312.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1180.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1062.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,956.5938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,860.93442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,774.840978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,697.3568802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,627.6211922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,564.859073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,508.3731657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,457.5358491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,411.7822642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,370.6040378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,333.543634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,300.1892706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,270.1703435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,243.1533092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,218.8379783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,196.9541804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,177.2587624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,159.5328862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,143.5795975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,129.2216378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,116.299474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,104.6695266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,94.20257394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,84.78231655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,76.3040849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,68.67367641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,61.80630877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,55.62567789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,50.0631101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,45.05679909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,40.55111918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,36.49600726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,32.84640654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,29.56176588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,26.60558929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,23.94503037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,21.55052733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,19.3954746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,17.45592714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,15.71033442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,14.13930098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,12.72537088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,11.45283379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,10.30755041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,9.276795373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,8.349115836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,7.514204252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,6.762783827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,6.086505444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,5.4778549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,4.93006941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,4.437062469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.993356222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.5940206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.23461854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.911156686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.620041017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.358036916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.122233224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.910009902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.719008911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.54710802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.392397218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.253157496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
