ratio_absorb,light,leaf
0.1,2000,1
0.1,1800,2
0.1,1620,3
0.1,1458,4
0.1,1312.2,5
0.1,1180.98,6
0.1,1062.882,7
0.1,956.5938,8
0.1,860.93442,9
0.1,774.840978,10
0.1,697.3568802,11
0.1,627.6211922,12
0.1,564.859073,13
0.1,508.3731657,14
0.1,457.5358491,15
0.1,411.7822642,16
0.1,370.6040378,17
0.1,333.543634,18
0.1,300.1892706,19
0.1,270.1703435,20
0.1,243.1533092,21
0.1,218.8379783,22
0.1,196.9541804,23
0.1,177.2587624,24
0.1,159.5328862,25
0.1,143.5795975,26
0.1,129.2216378,27
0.1,116.299474,28
0.1,104.6695266,29
0.1,94.20257394,30
0.1,84.78231655,31
0.1,76.3040849,32
0.1,68.67367641,33
0.1,61.80630877,34
0.1,55.62567789,35
0.1,50.0631101,36
0.1,45.05679909,37
0.1,40.55111918,38
0.1,36.49600726,39
0.1,32.84640654,40
0.1,29.56176588,41
0.1,26.60558929,42
0.1,23.94503037,43
0.1,21.55052733,44
0.1,19.3954746,45
0.1,17.45592714,46
0.1,15.71033442,47
0.1,14.13930098,48
0.1,12.72537088,49
0.1,11.45283379,50
0.1,10.30755041,51
0.1,9.276795373,52
0.1,8.349115836,53
0.1,7.514204252,54
0.1,6.762783827,55
0.1,6.086505444,56
0.1,5.4778549,57
0.1,4.93006941,58
0.1,4.437062469,59
0.1,3.993356222,60
0.1,3.5940206,61
0.1,3.23461854,62
0.1,2.911156686,63
0.1,2.620041017,64
0.1,2.358036916,65
0.1,2.122233224,66
0.1,1.910009902,67
0.1,1.719008911,68
0.1,1.54710802,69
0.1,1.392397218,70
0.1,1.253157496,71
0.1,1.127841747,72
0.1,1.015057572,73
0.2,2000,1
0.2,1600,2
0.2,1280,3
0.2,1024,4
0.2,819.2,5
0.2,655.36,6
0.2,524.288,7
0.2,419.4304,8
0.2,335.54432,9
0.2,268.435456,10
0.2,214.7483648,11
0.2,171.7986918,12
0.2,137.4389535,13
0.2,109.9511628,14
0.2,87.96093022,15
0.2,70.36874418,16
0.2,56.29499534,17
0.2,45.03599627,18
0.2,36.02879702,19
0.2,28.82303762,20
0.2,23.05843009,21
0.2,18.44674407,22
0.2,14.75739526,23
0.2,11.80591621,24
0.2,9.444732966,25
0.2,7.555786373,26
0.2,6.044629098,27
0.2,4.835703278,28
0.2,3.868562623,29
0.2,3.094850098,30
0.2,2.475880079,31
0.2,1.980704063,32
0.2,1.58456325,33
0.2,1.2676506,34
0.2,1.01412048,35
0.3,2000,1
0.3,1400,2
0.3,980,3
0.3,686,4
0.3,480.2,5
0.3,336.14,6
0.3,235.298,7
0.3,164.7086,8
0.3,115.29602,9
0.3,80.707214,10
0.3,56.4950498,11
0.3,39.54653486,12
0.3,27.6825744,13
0.3,19.37780208,14
0.3,13.56446146,15
0.3,9.49512302,16
0.3,6.646586114,17
0.3,4.65261028,18
0.3,3.256827196,19
0.3,2.279779037,20
0.3,1.595845326,21
0.3,1.117091728,22
0.4,2000,1
0.4,1200,2
0.4,720,3
0.4,432,4
0.4,259.2,5
0.4,155.52,6
0.4,93.312,7
0.4,55.9872,8
0.4,33.59232,9
0.4,20.155392,10
0.4,12.0932352,11
0.4,7.25594112,12
0.4,4.353564672,13
0.4,2.612138803,14
0.4,1.567283282,15
0.5,2000,1
0.5,1000,2
0.5,500,3
0.5,250,4
0.5,125,5
0.5,62.5,6
0.5,31.25,7
0.5,15.625,8
0.5,7.8125,9
0.5,3.90625,10
0.5,1.953125,11
0.6,2000,1
0.6,800,2
0.6,320,3
0.6,128,4
0.6,51.2,5
0.6,20.48,6
0.6,8.192,7
0.6,3.2768,8
0.6,1.31072,9
0.7,2000,1
0.7,600,2
0.7,180,3
0.7,54,4
0.7,16.2,5
0.7,4.86,6
0.7,1.458,7
0.8,2000,1
0.8,400,2
0.8,80,3
0.8,16,4
0.8,3.2,5
0.9,2000,1
0.9,200,2
0.9,20,3
0.9,2,4
