idx,LIGHT,ratio_absorb,CO2,叶片数,CO2_sum
0,2000,0.1,12.93060802,1,12.93060802
1,1800,0.1,12.05970042,2,24.99030844
2,1620,0.1,11.17410854,3,36.16441698
3,1458,0.1,10.31139017,4,46.47580715
4,1312.2,0.1,9.487193045,5,55.9630002
5,1180.98,0.1,8.707844817,6,64.67084501
6,1062.882,0.1,7.976048449,7,72.64689346
7,956.5938,0.1,7.292246662,8,79.93914012
8,860.93442,0.1,6.6560628,9,86.59520292
9,774.840978,0.1,6.066236604,10,92.66143953
10,697.3568802,0.1,5.521174057,11,98.18261358
11,627.6211922,0.1,5.018940266,12,103.2015539
12,564.859073,0.1,4.557393604,13,107.7589475
13,508.3731657,0.1,4.134283211,14,111.8932307
14,457.5358491,0.1,3.747233463,15,115.6404641
15,411.7822642,0.1,3.393876065,16,119.0343402
16,370.6040378,0.1,3.071827546,17,122.1061677
17,333.543634,0.1,2.778767621,18,124.8849354
18,300.1892706,0.1,2.512437756,19,127.3973731
19,270.1703435,0.1,2.270683443,20,129.6680566
20,243.1533092,0.1,2.051455503,21,131.7195121
21,218.8379783,0.1,1.85282741,22,133.5723395
22,196.9541804,0.1,1.672996963,23,135.2453364
23,177.2587624,0.1,1.510286586,24,136.755623
24,159.5328862,0.1,1.3631488,25,138.1187718
25,143.5795975,0.1,1.230152104,26,139.3489239
26,129.2216378,0.1,1.10998676,27,140.4589107
27,116.299474,0.1,1.001452377,28,141.4603631
28,104.6695266,0.1,0.903446645,29,142.3638097
29,94.20257394,0.1,0.814973886,30,143.1787836
30,84.78231655,0.1,0.735121184,31,143.9139048
31,76.3040849,0.1,0.663061883,32,144.5769667
32,68.67367641,0.1,0.598043939,33,145.1750106
33,61.80630877,0.1,0.5393869,34,145.7143975
34,55.62567789,0.1,0.486474052,35,146.2008716
35,50.0631101,0.1,0.438745465,36,146.639617
36,45.05679909,0.1,0.395697027,37,147.035314
37,40.55111918,0.1,0.356871754,38,147.3921858
38,36.49600726,0.1,0.321856779,39,147.7140426
39,32.84640654,0.1,0.290278903,40,148.0043215
40,29.56176588,0.1,0.261801505,41,148.266123
41,26.60558929,0.1,0.236120531,42,148.5022435
42,23.94503037,0.1,0.212961421,43,148.7152049
43,21.55052733,0.1,0.192076728,44,148.9072817
44,19.3954746,0.1,0.173242982,45,149.0805246
45,17.45592714,0.1,0.156258621,46,149.2367833
46,15.71033442,0.1,0.140941827,47,149.3777251
47,14.13930098,0.1,0.127128692,48,149.5048538
48,12.72537088,0.1,0.114671353,49,149.6195251
49,11.45283379,0.1,0.103436599,50,149.7229617
50,10.30755041,0.1,0.093304128,51,149.8162659
51,9.276795373,0.1,0.084165668,52,149.9004315
52,8.349115836,0.1,0.075923444,53,149.976355
53,7.514204252,0.1,0.06848939,54,150.0448444
54,6.762783827,0.1,0.061784102,55,150.1066285
55,6.086505444,0.1,0.055735944,56,150.1623644
56,5.4778549,0.1,0.050280429,57,150.2126448
57,4.93006941,0.1,0.045359338,58,150.2580042
58,4.437062469,0.1,0.040920205,59,150.2989244
59,3.993356222,0.1,0.036915724,60,150.3358401
60,3.5940206,0.1,0.033303273,61,150.3691434
61,3.23461854,0.1,0.030044383,62,150.3991878
62,2.911156686,0.1,0.027104406,63,150.4262922
63,2.620041017,0.1,0.024452075,64,150.4507442
64,2.358036916,0.1,0.022059204,65,150.4728035
65,2.122233224,0.1,0.019900387,66,150.4927038
66,1.910009902,0.1,0.017952692,67,150.5106565
67,1.719008911,0.1,0.016195462,68,150.526852
68,1.54710802,0.1,0.014610056,69,150.541462
69,1.392397218,0.1,0.013179672,70,150.5546417
