ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.72222222,1.61,0.81111111,3.15,32.75180828
0.63333333,1.61,0.9,6.2299999999999995,31.06019357
0.81111111,1.61,0.72222222,1.6099999999999999,28.3834552
0.63333333,1.61,0.9,5.46,28.083376
0.72222222,1.61,0.72222222,1.6099999999999999,26.44953506
0.72222222,1.61,0.81111111,2.38,26.33177809
0.72222222,1.61,0.9,4.6899999999999995,26.15058607
0.72222222,2.38,0.9,6.2299999999999995,26.03788116
0.9,1.61,0.72222222,3.9199999999999995,25.95387953
0.81111111,2.38,0.9,5.46,25.53585323
0.9,3.15,0.9,6.2299999999999995,25.13169637
0.54444444,1.61,0.9,5.46,25.05247322
0.63333333,1.61,0.9,4.6899999999999995,24.852863
0.9,2.38,0.9,7.0,24.75294404
0.63333333,1.61,0.81111111,2.38,24.00884346
0.63333333,1.61,0.72222222,1.6099999999999999,23.96393145
0.9,2.38,0.72222222,1.6099999999999999,23.4462844
0.9,2.38,0.81111111,2.38,23.39432687
0.81111111,1.61,0.81111111,7.0,23.36800276
0.81111111,1.61,0.81111111,6.2299999999999995,23.29795828
0.72222222,2.38,0.9,5.46,23.25492558
0.72222222,1.61,0.9,5.46,23.22348177
0.81111111,1.61,0.81111111,5.46,23.22258536
0.9,1.61,0.72222222,1.6099999999999999,23.21754258
0.9,1.61,0.72222222,6.2299999999999995,23.14127864
0.81111111,1.61,0.81111111,4.6899999999999995,23.13391444
0.81111111,1.61,0.81111111,3.9199999999999995,23.01879713
0.81111111,3.15,0.9,6.2299999999999995,23.00451768
0.72222222,1.61,0.9,6.2299999999999995,22.9904115
0.81111111,1.61,0.81111111,3.15,22.85157366
0.9,2.38,0.9,5.46,22.66450152
0.9,1.61,0.72222222,3.15,22.58938657
0.9,1.61,0.63333333,0.84,22.55939143
0.81111111,1.61,0.81111111,2.38,22.51518715
0.9,2.38,0.9,4.6899999999999995,22.45900524
0.72222222,1.61,0.9,3.9199999999999995,22.37798584
