ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.1,0.07,0.1,0.1,0.656416751
0.1,0.07,0.1,1.2,0.708081305
0.1,0.07,0.1,2.3,0.70874153
0.1,0.07,0.1,3.4,0.709402251
0.1,0.07,0.1,4.5,0.710026486
0.1,0.07,0.1,5.6,0.710695858
0.1,0.07,0.1,6.7,0.711360515
0.1,0.07,0.1,7.8,0.712030778
0.1,0.07,0.1,8.9,0.712675459
0.1,0.07,0.1,10,0.713318956
0.1,0.07,0.18888889,0.1,0.683885928
0.1,0.07,0.18888889,1.2,0.923899513
0.1,0.07,0.18888889,2.3,0.925703237
0.1,0.07,0.18888889,3.4,0.927132257
0.1,0.07,0.18888889,4.5,0.927980469
0.1,0.07,0.18888889,5.6,0.9292028
0.1,0.07,0.18888889,6.7,0.929955071
0.1,0.07,0.18888889,7.8,0.93099053
0.1,0.07,0.18888889,8.9,0.932001309
0.1,0.07,0.18888889,10,0.932799242
0.1,0.07,0.27777778,0.1,0.64651404
0.1,0.07,0.27777778,1.2,0.979492088
0.1,0.07,0.27777778,2.3,0.981490522
0.1,0.07,0.27777778,3.4,0.982963341
0.1,0.07,0.27777778,4.5,0.984126293
0.1,0.07,0.27777778,5.6,0.985437442
0.1,0.07,0.27777778,6.7,0.986386664
0.1,0.07,0.27777778,7.8,0.987179473
0.1,0.07,0.27777778,8.9,0.988456404
0.1,0.07,0.27777778,10,0.989322202
0.1,0.07,0.36666667,0.1,0.595370234
0.1,0.07,0.36666667,1.2,1.001446233
0.1,0.07,0.36666667,2.3,1.004196948
0.1,0.07,0.36666667,3.4,1.005366037
0.1,0.07,0.36666667,4.5,1.006555779
0.1,0.07,0.36666667,5.6,1.008016125
0.1,0.07,0.36666667,6.7,1.00884097
0.1,0.07,0.36666667,7.8,1.009858341
0.1,0.07,0.36666667,8.9,1.01082107
0.1,0.07,0.36666667,10,1.01181767
0.1,0.07,0.45555556,0.1,0.535582459
0.1,0.07,0.45555556,1.2,1.013000221
0.1,0.07,0.45555556,2.3,1.015670796
0.1,0.07,0.45555556,3.4,1.01709546
0.1,0.07,0.45555556,4.5,1.018311805
0.1,0.07,0.45555556,5.6,1.019947261
0.1,0.07,0.45555556,6.7,1.020846266
0.1,0.07,0.45555556,7.8,1.022081846
0.1,0.07,0.45555556,8.9,1.022774017
0.1,0.07,0.45555556,10,1.023687173
0.1,0.07,0.54444444,0.1,0.46798316
0.1,0.07,0.54444444,1.2,1.019564701
0.1,0.07,0.54444444,2.3,1.023341968
0.1,0.07,0.54444444,3.4,1.024422371
0.1,0.07,0.54444444,4.5,1.026168431
0.1,0.07,0.54444444,5.6,1.026745787
0.1,0.07,0.54444444,6.7,1.027810428
0.1,0.07,0.54444444,7.8,1.029136518
0.1,0.07,0.54444444,8.9,1.029956329
0.1,0.07,0.54444444,10,1.031425389
0.1,0.07,0.63333333,0.1,0.392837601
0.1,0.07,0.63333333,1.2,1.02434705
0.1,0.07,0.63333333,2.3,1.027914672
0.1,0.07,0.63333333,3.4,1.029525864
0.1,0.07,0.63333333,4.5,1.030649944
0.1,0.07,0.63333333,5.6,1.031390057
0.1,0.07,0.63333333,6.7,1.032853184
0.1,0.07,0.63333333,7.8,1.03438965
0.1,0.07,0.63333333,8.9,1.035143222
0.1,0.07,0.72222222,0.1,0.310248078
0.1,0.07,0.72222222,1.2,1.027105532
0.1,0.07,0.72222222,2.3,1.03099208
0.1,0.07,0.72222222,3.4,1.032599738
0.1,0.07,0.72222222,4.5,1.033854355
0.1,0.07,0.72222222,5.6,1.03512868
0.1,0.07,0.72222222,6.7,1.036122187
0.1,0.07,0.72222222,7.8,1.037183276
0.1,0.07,0.72222222,8.9,1.038932968
0.1,0.07,0.72222222,10,1.039301779
0.1,0.07,0.81111111,0.1,0.219735647
0.1,0.07,0.81111111,1.2,1.027193067
0.1,0.07,0.81111111,2.3,1.033140285
0.1,0.07,0.81111111,3.4,1.035272281
0.1,0.07,0.81111111,4.5,1.0362687
0.1,0.07,0.81111111,5.6,1.037937125
0.1,0.07,0.81111111,6.7,1.038577437
0.1,0.07,0.81111111,7.8,1.039620769
0.1,0.07,0.81111111,8.9,1.040658636
0.1,0.07,0.81111111,10,1.041805101
0.1,0.07,0.9,0.1,0.121379355
0.1,0.07,0.9,1.2,0.949506806
0.1,0.07,0.9,2.3,1.033534811
0.1,0.07,0.9,3.4,1.036202299
0.1,0.07,0.9,4.5,1.037971879
0.1,0.07,0.9,5.6,1.038964298
0.1,0.07,0.9,6.7,1.040080455
0.1,0.07,0.9,7.8,1.041211373
0.1,0.07,0.9,8.9,1.042253404
0.1,0.07,0.9,10,1.04338413
0.1,0.84,0.1,0.1,1.009094891
0.1,0.84,0.1,1.2,0.991014568
0.1,0.84,0.1,2.3,0.991170525
0.1,0.84,0.1,3.4,0.991521443
0.1,0.84,0.1,4.5,0.991932949
0.1,0.84,0.1,5.6,0.992350053
0.1,0.84,0.1,6.7,0.992764881
0.1,0.84,0.1,7.8,0.993179331
0.1,0.84,0.1,8.9,0.993591656
0.1,0.84,0.1,10,0.99400315
0.1,0.84,0.18888889,0.1,1.010880184
0.1,0.84,0.18888889,1.2,1.779302404
0.1,0.84,0.18888889,2.3,1.778969081
0.1,0.84,0.18888889,3.4,1.779706005
0.1,0.84,0.18888889,4.5,1.780687656
0.1,0.84,0.18888889,5.6,1.781758122
0.1,0.84,0.18888889,6.7,1.782875306
0.1,0.84,0.18888889,7.8,1.784023134
0.1,0.84,0.18888889,8.9,1.78518829
0.1,0.84,0.18888889,10,1.786361845
0.1,0.84,0.27777778,0.1,0.899994472
