ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.1,0.07,0.1,0.1,0.184343517
0.1,0.07,0.1,0.5,0.180782203
0.1,0.07,0.1,1,0.180666208
0.1,0.07,0.1,4,0.180955755
0.1,0.07,0.1,6,0.181198079
0.1,0.07,0.1,8,0.181444494
0.1,0.07,0.1,10,0.181693473
0.1,0.07,0.3,0.1,0.16458362
0.1,0.07,0.3,0.5,0.469001659
0.1,0.07,0.3,1,0.462951149
0.1,0.07,0.3,4,0.462971893
0.1,0.07,0.3,6,0.463634258
0.1,0.07,0.3,8,0.464336969
0.1,0.07,0.3,10,0.465030575
0.1,0.07,0.5,0.1,0.120531925
0.1,0.07,0.5,0.5,0.464888341
0.1,0.07,0.5,1,0.623624801
0.1,0.07,0.5,4,0.650440354
0.1,0.07,0.5,6,0.651461088
0.1,0.07,0.5,8,0.652503816
0.1,0.07,0.5,10,0.653449155
0.1,0.07,0.7,0.1,0.07393728
0.1,0.07,0.7,0.5,0.324952344
0.1,0.07,0.7,1,0.52904722
0.1,0.07,0.7,4,0.733211311
0.1,0.07,0.7,6,0.734359799
0.1,0.07,0.7,8,0.735613935
0.1,0.07,0.7,10,0.736687992
0.1,0.07,0.9,0.1,0.025255343
0.1,0.07,0.9,0.5,0.121370594
0.1,0.07,0.9,1,0.230681475
0.1,0.07,0.9,4,0.625234489
0.1,0.07,0.9,6,0.737921192
0.1,0.07,0.9,8,0.768952249
0.1,0.07,0.9,10,0.770794434
0.1,0.1,0.1,0.1,0.192871076
0.1,0.1,0.1,0.5,0.188479139
0.1,0.1,0.1,1,0.188362185
0.1,0.1,0.1,4,0.188604816
0.1,0.1,0.1,6,0.188818518
0.1,0.1,0.1,8,0.189036312
0.1,0.1,0.1,10,0.189255803
0.1,0.1,0.3,0.1,0.170912136
0.1,0.1,0.3,0.5,0.528813203
0.1,0.1,0.3,1,0.496828643
0.1,0.1,0.3,4,0.494901413
0.1,0.1,0.3,6,0.49560767
0.1,0.1,0.3,8,0.496346438
0.1,0.1,0.3,10,0.497101928
0.1,0.1,0.5,0.1,0.123873208
0.1,0.1,0.5,0.5,0.534970489
0.1,0.1,0.5,1,0.755661655
0.1,0.1,0.5,4,0.759863516
0.1,0.1,0.5,6,0.760911879
0.1,0.1,0.5,8,0.761985019
0.1,0.1,0.5,10,0.763109679
0.1,0.1,0.7,0.1,0.075360428
0.1,0.1,0.7,0.5,0.351471711
0.1,0.1,0.7,1,0.622540576
0.1,0.1,0.7,4,0.958944703
0.1,0.1,0.7,6,0.960349128
0.1,0.1,0.7,8,0.961810938
0.1,0.1,0.7,10,0.963224981
0.1,0.1,0.9,0.1,0.025579013
0.1,0.1,0.9,0.5,0.124452198
0.1,0.1,0.9,1,0.242301917
0.1,0.1,0.9,4,0.764418161
0.1,0.1,0.9,6,0.941668668
0.1,0.1,0.9,8,1.036739457
0.1,0.1,0.9,10,1.077562123
0.1,1,0.1,0.1,0.197185326
0.1,1,0.1,0.5,0.207024626
0.1,1,0.1,1,0.20702634
0.1,1,0.1,4,0.20704204
0.1,1,0.1,6,0.20705212
0.1,1,0.1,8,0.207061854
0.1,1,0.1,10,0.207071258
0.1,1,0.3,0.1,0.147653626
0.1,1,0.3,0.5,0.617531493
0.1,1,0.3,1,0.616985831
0.1,1,0.3,4,0.612427204
0.1,1,0.3,6,0.612608138
0.1,1,0.3,8,0.612792331
0.1,1,0.3,10,0.612983253
0.1,1,0.5,0.1,0.105667051
0.1,1,0.5,0.5,0.526547029
0.1,1,0.5,1,1.02098399
0.1,1,0.5,4,0.998835305
0.1,1,0.5,6,0.999365463
0.1,1,0.5,8,0.999956211
0.1,1,0.5,10,1.000564743
0.1,1,0.7,0.1,0.06369186
0.1,1,0.7,0.5,0.315664629
0.1,1,0.7,1,0.633931456
0.1,1,0.7,4,1.420102672
0.1,1,0.7,6,1.390251835
0.1,1,0.7,8,1.366567055
0.1,1,0.7,10,1.367540087
0.1,1,0.9,0.1,0.021626653
0.1,1,0.9,0.5,0.105700509
0.1,1,0.9,1,0.210674729
0.1,1,0.9,4,0.842284658
0.1,1,0.9,6,1.268132793
0.1,1,0.9,8,1.743267911
0.1,1,0.9,10,1.826694369
0.1,3,0.1,0.1,0.06725635
0.1,3,0.1,0.5,0.207426136
0.1,3,0.1,1,0.207426461
0.1,3,0.1,4,0.207428493
0.1,3,0.1,6,0.207429795
0.1,3,0.1,8,0.207431063
0.1,3,0.1,10,0.207432303
0.1,3,0.3,0.1,0.049743715
0.1,3,0.3,0.5,0.271373081
0.1,3,0.3,1,0.596775093
0.1,3,0.3,4,0.621118441
0.1,3,0.3,6,0.621150805
0.1,3,0.3,8,0.621182644
0.1,3,0.3,10,0.621213836
0.1,3,0.5,0.1,0.035683118
0.1,3,0.5,0.5,0.176503681
0.1,3,0.5,1,0.375534786
0.1,3,0.5,4,1.031521583
0.1,3,0.5,6,1.031656115
0.1,3,0.5,8,1.031793286
0.1,3,0.5,10,1.031929229
0.1,3,0.7,0.1,0.021629055
0.1,3,0.7,0.5,0.105773544
0.1,3,0.7,1,0.211249577
0.1,3,0.7,4,0.988133124
0.1,3,0.7,6,1.442799815
0.1,3,0.7,8,1.437118944
0.1,3,0.7,10,1.437429742
0.1,3,0.9,0.1,0.007489169
0.1,3,0.9,0.5,0.035681531
0.1,3,0.9,1,0.070727767
0.1,3,0.9,4,0.281459552
0.1,3,0.9,6,0.44425013
0.1,3,0.9,8,0.585992246
0.1,3,0.9,10,0.766047307
0.1,5,0.1,0.1,0.041125653
0.1,5,0.1,0.5,0.182146281
0.1,5,0.1,1,0.182152081
0.1,5,0.1,4,0.182190573
0.1,5,0.1,6,0.182215178
0.1,5,0.1,8,0.182239643
0.1,5,0.1,10,0.182263698
0.1,5,0.3,0.1,0.03013496
0.1,5,0.3,0.5,0.163983
