ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,CO2
0.1,0.07,0.1,0.1,0,0.184343517
0.1,0.07,0.1,0.5,1,0.180782203
0.1,0.07,0.1,1,2,0.180666208
0.1,0.07,0.1,4,3,0.180955755
0.1,0.07,0.1,6,4,0.181198079
0.1,0.07,0.1,8,5,0.181444494
0.1,0.07,0.1,10,6,0.181693473
0.1,0.07,0.3,0.1,7,0.16458362
0.1,0.07,0.3,0.5,8,0.469001659
0.1,0.07,0.3,1,9,0.462951149
0.1,0.07,0.3,4,10,0.462971893
0.1,0.07,0.3,6,11,0.463634258
0.1,0.07,0.3,8,12,0.464336969
0.1,0.07,0.3,10,13,0.465030575
0.1,0.07,0.5,0.1,14,0.120531925
0.1,0.07,0.5,0.5,15,0.464888341
0.1,0.07,0.5,1,16,0.623624801
0.1,0.07,0.5,4,17,0.650440354
0.1,0.07,0.5,6,18,0.651461088
0.1,0.07,0.5,8,19,0.652503816
0.1,0.07,0.5,10,20,0.653449155
0.1,0.07,0.7,0.1,21,0.07393728
0.1,0.07,0.7,0.5,22,0.324952344
0.1,0.07,0.7,1,23,0.52904722
0.1,0.07,0.7,4,24,0.733211311
0.1,0.07,0.7,6,25,0.734359799
0.1,0.07,0.7,8,26,0.735613935
0.1,0.07,0.7,10,27,0.736687992
0.1,0.07,0.9,0.1,28,0.025255343
0.1,0.07,0.9,0.5,29,0.121370594
0.1,0.07,0.9,1,30,0.230681475
0.1,0.07,0.9,4,31,0.625234489
0.1,0.07,0.9,6,32,0.737921192
0.1,0.07,0.9,8,33,0.768952249
0.1,0.07,0.9,10,34,0.770794434
0.1,0.1,0.1,0.1,35,0.192871076
0.1,0.1,0.1,0.5,36,0.188479139
0.1,0.1,0.1,1,37,0.188362185
0.1,0.1,0.1,4,38,0.188604816
0.1,0.1,0.1,6,39,0.188818518
0.1,0.1,0.1,8,40,0.189036312
0.1,0.1,0.1,10,41,0.189255803
0.1,0.1,0.3,0.1,42,0.170912136
0.1,0.1,0.3,0.5,43,0.528813203
0.1,0.1,0.3,1,44,0.496828643
0.1,0.1,0.3,4,45,0.494901413
0.1,0.1,0.3,6,46,0.49560767
0.1,0.1,0.3,8,47,0.496346438
0.1,0.1,0.3,10,48,0.497101928
0.1,0.1,0.5,0.1,49,0.123873208
0.1,0.1,0.5,0.5,50,0.534970489
0.1,0.1,0.5,1,51,0.755661655
0.1,0.1,0.5,4,52,0.759863516
0.1,0.1,0.5,6,53,0.760911879
0.1,0.1,0.5,8,54,0.761985019
0.1,0.1,0.5,10,55,0.763109679
0.1,0.1,0.7,0.1,56,0.075360428
0.1,0.1,0.7,0.5,57,0.351471711
0.1,0.1,0.7,1,58,0.622540576
0.1,0.1,0.7,4,59,0.958944703
0.1,0.1,0.7,6,60,0.960349128
0.1,0.1,0.7,8,61,0.961810938
0.1,0.1,0.7,10,62,0.963224981
0.1,0.1,0.9,0.1,63,0.025579013
0.1,0.1,0.9,0.5,64,0.124452198
0.1,0.1,0.9,1,65,0.242301917
0.1,0.1,0.9,4,66,0.764418161
0.1,0.1,0.9,6,67,0.941668668
0.1,0.1,0.9,8,68,1.036739457
0.1,0.1,0.9,10,69,1.077562123
0.1,1,0.1,0.1,70,0.197185326
0.1,1,0.1,0.5,71,0.207024626
0.1,1,0.1,1,72,0.20702634
0.1,1,0.1,4,73,0.20704204
0.1,1,0.1,6,74,0.20705212
0.1,1,0.1,8,75,0.207061854
0.1,1,0.1,10,76,0.207071258
0.1,1,0.3,0.1,77,0.147653626
0.1,1,0.3,0.5,78,0.617531493
0.1,1,0.3,1,79,0.616985831
0.1,1,0.3,4,80,0.612427204
0.1,1,0.3,6,81,0.612608138
0.1,1,0.3,8,82,0.612792331
0.1,1,0.3,10,83,0.612983253
0.1,1,0.5,0.1,84,0.105667051
0.1,1,0.5,0.5,85,0.526547029
0.1,1,0.5,1,86,1.02098399
0.1,1,0.5,4,87,0.998835305
0.1,1,0.5,6,88,0.999365463
0.1,1,0.5,8,89,0.999956211
0.1,1,0.5,10,90,1.000564743
0.1,1,0.7,0.1,91,0.06369186
0.1,1,0.7,0.5,92,0.315664629
0.1,1,0.7,1,93,0.633931456
0.1,1,0.7,4,94,1.420102672
0.1,1,0.7,6,95,1.390251835
0.1,1,0.7,8,96,1.366567055
0.1,1,0.7,10,97,1.367540087
0.1,1,0.9,0.1,98,0.021626653
0.1,1,0.9,0.5,99,0.105700509
0.1,1,0.9,1,100,0.210674729
0.1,1,0.9,4,101,0.842284658
0.1,1,0.9,6,102,1.268132793
0.1,1,0.9,8,103,1.743267911
0.1,1,0.9,10,104,1.826694369
0.1,3,0.1,0.1,105,0.06725635
0.1,3,0.1,0.5,106,0.207426136
0.1,3,0.1,1,107,0.207426461
0.1,3,0.1,4,108,0.207428493
0.1,3,0.1,6,109,0.207429795
0.1,3,0.1,8,110,0.207431063
0.1,3,0.1,10,111,0.207432303
0.1,3,0.3,0.1,112,0.049743715
0.1,3,0.3,0.5,113,0.271373081
0.1,3,0.3,1,114,0.596775093
0.1,3,0.3,4,115,0.621118441
0.1,3,0.3,6,116,0.621150805
0.1,3,0.3,8,117,0.621182644
0.1,3,0.3,10,118,0.621213836
0.1,3,0.5,0.1,119,0.035683118
0.1,3,0.5,0.5,120,0.176503681
0.1,3,0.5,1,121,0.375534786
0.1,3,0.5,4,122,1.031521583
0.1,3,0.5,6,123,1.031656115
0.1,3,0.5,8,124,1.031793286
0.1,3,0.5,10,125,1.031929229
0.1,3,0.7,0.1,126,0.021629055
0.1,3,0.7,0.5,127,0.105773544
0.1,3,0.7,1,128,0.211249577
0.1,3,0.7,4,129,0.988133124
0.1,3,0.7,6,130,1.442799815
0.1,3,0.7,8,131,1.437118944
0.1,3,0.7,10,132,1.437429742
0.1,3,0.9,0.1,133,0.007489169
0.1,3,0.9,0.5,134,0.035681531
0.1,3,0.9,1,135,0.070727767
0.1,3,0.9,4,136,0.281459552
0.1,3,0.9,6,137,0.44425013
0.1,3,0.9,8,138,0.585992246
0.1,3,0.9,10,139,0.766047307
0.1,5,0.1,0.1,140,0.041125653
0.1,5,0.1,0.5,141,0.182146281
0.1,5,0.1,1,142,0.182152081
0.1,5,0.1,4,143,0.182190573
0.1,5,0.1,6,144,0.182215178
0.1,5,0.1,8,145,0.182239643
0.1,5,0.1,10,146,0.182263698
0.1,5,0.3,0.1,147,0.03013496
0.1,5,0.3,0.5,148,0.163983
0.1,5,0.3,1,149,0.358439567
0.1,5,0.3,4,150,0.545637076
0.1,5,0.3,6,151,0.545732346
0.1,5,0.3,8,152,0.545833925
0.1,5,0.3,10,153,0.545927171
0.1,5,0.5,0.1,154,0.021639691
0.1,5,0.5,0.5,155,0.106722334
0.1,5,0.5,1,156,0.227246051
0.1,5,0.5,4,157,0.908577955
0.1,5,0.5,6,158,0.908782931
0.1,5,0.5,8,159,0.908988616
0.1,5,0.5,10,160,0.909207985
0.1,5,0.7,0.1,161,0.013168765
0.1,5,0.7,0.5,162,0.06380065
0.1,5,0.7,1,163,0.127439466
0.1,5,0.7,4,164,0.59361286
0.1,5,0.7,6,165,0.929400845
0.1,5,0.7,8,166,1.265684328
0.1,5,0.7,10,167,1.27036342
0.1,5,0.9,0.1,168,0.004624697
0.1,5,0.9,0.5,169,0.021633781
0.1,5,0.9,1,170,0.042713293
0.1,5,0.9,4,171,0.169670822
0.1,5,0.9,6,172,0.257500863
0.1,5,0.9,8,173,0.354824885
0.1,5,0.9,10,174,0.461871877
0.1,7,0.1,0.1,175,0.029853985
0.1,7,0.1,0.5,176,0.130283294
0.1,7,0.1,1,177,0.130286889
0.1,7,0.1,4,178,0.130311427
0.1,7,0.1,6,179,0.130326627
0.1,7,0.1,8,180,0.130343196
0.1,7,0.1,10,181,0.130358827
0.1,7,0.3,0.1,182,0.021728484
0.1,7,0.3,0.5,183,0.117949064
0.1,7,0.3,1,184,0.256366417
0.1,7,0.3,4,185,0.389802876
0.1,7,0.3,6,186,0.389866761
0.1,7,0.3,8,187,0.3899317
0.1,7,0.3,10,188,0.389996556
0.1,7,0.5,0.1,189,0.01560431
0.1,7,0.5,0.5,190,0.076864761
0.1,7,0.5,1,191,0.163626281
0.1,7,0.5,4,192,0.64929862
0.1,7,0.5,6,193,0.64942463
0.1,7,0.5,8,194,0.649552492
0.1,7,0.5,10,195,0.649676567
0.1,7,0.7,0.1,196,0.009525565
0.1,7,0.7,0.5,197,0.045818659
0.1,7,0.7,1,198,0.09159557
0.1,7,0.7,4,199,0.424697622
0.1,7,0.7,6,200,0.663994462
0.1,7,0.7,8,201,0.903920102
0.1,7,0.7,10,202,0.90863884
0.1,7,0.9,0.1,203,0.003390038
0.1,7,0.9,0.5,204,0.015595191
0.1,7,0.9,1,205,0.030693163
0.1,7,0.9,4,206,0.121868044
0.1,7,0.9,6,207,0.185518846
0.1,7,0.9,8,208,0.255573237
0.1,7,0.9,10,209,0.331572924
0.3,0.07,0.1,0.1,210,0.438449848
0.3,0.07,0.1,0.5,211,0.462601755
0.3,0.07,0.1,1,212,0.462277612
0.3,0.07,0.1,4,213,0.463082678
0.3,0.07,0.1,6,214,0.463752357
0.3,0.07,0.1,8,215,0.464450729
0.3,0.07,0.1,10,216,0.465148802
0.3,0.07,0.3,0.1,217,0.412786663
0.3,0.07,0.3,0.5,218,0.761723028
0.3,0.07,0.3,1,219,0.76724901
0.3,0.07,0.3,4,220,0.770676311
0.3,0.07,0.3,6,221,0.772000351
0.3,0.07,0.3,8,222,0.77300752
0.3,0.07,0.3,10,223,0.774093926
0.3,0.07,0.5,0.1,224,0.321329554
0.3,0.07,0.5,0.5,225,0.783069274
0.3,0.07,0.5,1,226,0.804160492
0.3,0.07,0.5,4,227,0.808600361
0.3,0.07,0.5,6,228,0.809994735
0.3,0.07,0.5,8,229,0.811160535
0.3,0.07,0.5,10,230,0.811902495
0.3,0.07,0.7,0.1,231,0.207835163
0.3,0.07,0.7,0.5,232,0.672000945
0.3,0.07,0.7,1,233,0.812041566
0.3,0.07,0.7,4,234,0.820849874
0.3,0.07,0.7,6,235,0.822109722
0.3,0.07,0.7,8,236,0.823329234
0.3,0.07,0.7,10,237,0.824395273
0.3,0.07,0.9,0.1,238,0.073934782
0.3,0.07,0.9,0.5,239,0.32718706
0.3,0.07,0.9,1,240,0.542779569
0.3,0.07,0.9,4,241,0.825757295
0.3,0.07,0.9,6,242,0.827431672
0.3,0.07,0.9,8,243,0.828668597
0.3,0.07,0.9,10,244,0.830217134
0.3,0.1,0.1,0.1,245,0.503972877
0.3,0.1,0.1,0.5,246,0.494701706
0.3,0.1,0.1,1,247,0.494210682
0.3,0.1,0.1,4,248,0.495021604
0.3,0.1,0.1,6,249,0.495745112
0.3,0.1,0.1,8,250,0.496483781
0.3,0.1,0.1,10,251,0.497226336
0.3,0.1,0.3,0.1,252,0.46480932
0.3,0.1,0.3,0.5,253,1.063781802
0.3,0.1,0.3,1,254,1.076828535
0.3,0.1,0.3,4,255,1.080571599
0.3,0.1,0.3,6,256,1.082248625
0.3,0.1,0.3,8,257,1.083925303
0.3,0.1,0.3,10,258,1.085561458
0.3,0.1,0.5,0.1,259,0.348578696
0.3,0.1,0.5,0.5,260,1.069034535
0.3,0.1,0.5,1,261,1.201091989
0.3,0.1,0.5,4,262,1.209946373
0.3,0.1,0.5,6,263,1.211858141
0.3,0.1,0.5,8,264,1.213786853
0.3,0.1,0.5,10,265,1.215564806
0.3,0.1,0.7,0.1,266,0.217816961
0.3,0.1,0.7,0.5,267,0.837237907
0.3,0.1,0.7,1,268,1.171025095
0.3,0.1,0.7,4,269,1.247118269
