P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,Phi2
0.1,0.1,0.07,0.1,0.525843149
0.4,0.1,0.07,0.1,0.525843149
0.7,0.1,0.07,0.1,0.525843149
1,0.1,0.07,0.1,0.525843149
1.5,0.1,0.07,0.1,0.525843149
2,0.1,0.07,0.1,0.525843149
4,0.1,0.07,0.1,0.525843149
6,0.1,0.07,0.1,0.525843149
8,0.1,0.07,0.1,0.525843149
10,0.1,0.07,0.1,0.525843149
0.1,0.1,0.07,0.1889,0.283323591
0.4,0.1,0.07,0.1889,0.283323591
0.7,0.1,0.07,0.1889,0.283323591
1,0.1,0.07,0.1889,0.283323591
1.5,0.1,0.07,0.1889,0.283323591
2,0.1,0.07,0.1889,0.283323591
4,0.1,0.07,0.1889,0.283323591
6,0.1,0.07,0.1889,0.283323591
8,0.1,0.07,0.1889,0.283323591
10,0.1,0.07,0.1889,0.283323591
0.1,0.1,0.07,0.2778,0.193357659
0.4,0.1,0.07,0.2778,0.193357659
0.7,0.1,0.07,0.2778,0.193357659
1,0.1,0.07,0.2778,0.193357659
1.5,0.1,0.07,0.2778,0.193357659
2,0.1,0.07,0.2778,0.193357659
4,0.1,0.07,0.2778,0.193357659
6,0.1,0.07,0.2778,0.193357659
8,0.1,0.07,0.2778,0.193357659
10,0.1,0.07,0.2778,0.193357659
0.1,0.1,0.07,0.3667,0.14672152
0.4,0.1,0.07,0.3667,0.14672152
0.7,0.1,0.07,0.3667,0.14672152
1,0.1,0.07,0.3667,0.14672152
1.5,0.1,0.07,0.3667,0.14672152
2,0.1,0.07,0.3667,0.14672152
4,0.1,0.07,0.3667,0.14672152
6,0.1,0.07,0.3667,0.14672152
8,0.1,0.07,0.3667,0.14672152
10,0.1,0.07,0.3667,0.14672152
0.1,0.1,0.07,0.4556,0.118187784
0.4,0.1,0.07,0.4556,0.118187784
0.7,0.1,0.07,0.4556,0.118187784
1,0.1,0.07,0.4556,0.118187784
1.5,0.1,0.07,0.4556,0.118187784
2,0.1,0.07,0.4556,0.118187784
4,0.1,0.07,0.4556,0.118187784
6,0.1,0.07,0.4556,0.118187784
8,0.1,0.07,0.4556,0.118187784
10,0.1,0.07,0.4556,0.118187784
0.1,0.1,0.07,0.5444,0.098963753
0.4,0.1,0.07,0.5444,0.098963753
0.7,0.1,0.07,0.5444,0.098963753
