P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,Phi2,Result
0.1,0.1,0.07,0.1,0.525843149,5.2584314899999995
1.2,0.1,0.07,0.1,0.525843149,5.2584314899999995
2.3,0.1,0.07,0.1,0.525843149,5.2584314899999995
3.4,0.1,0.07,0.1,0.525843149,5.2584314899999995
4.5,0.1,0.07,0.1,0.525843149,5.2584314899999995
5.6,0.1,0.07,0.1,0.525843149,5.2584314899999995
6.7,0.1,0.07,0.1,0.525843149,5.2584314899999995
7.8,0.1,0.07,0.1,0.525843149,5.2584314899999995
8.9,0.1,0.07,0.1,0.525843149,5.2584314899999995
10.0,0.1,0.07,0.1,0.525843149,5.2584314899999995
0.1,0.1,0.07,0.1889,0.283323591,5.3519826339900005
1.2,0.1,0.07,0.1889,0.283323591,5.3519826339900005
2.3,0.1,0.07,0.1889,0.283323591,5.3519826339900005
3.4,0.1,0.07,0.1889,0.283323591,5.3519826339900005
4.5,0.1,0.07,0.1889,0.283323591,5.3519826339900005
5.6,0.1,0.07,0.1889,0.283323591,5.3519826339900005
6.7,0.1,0.07,0.1889,0.283323591,5.3519826339900005
7.8,0.1,0.07,0.1889,0.283323591,5.3519826339900005
8.9,0.1,0.07,0.1889,0.283323591,5.3519826339900005
10.0,0.1,0.07,0.1889,0.283323591,5.3519826339900005
0.1,0.1,0.07,0.2778,0.193357659,5.37147576702
1.2,0.1,0.07,0.2778,0.193357659,5.37147576702
2.3,0.1,0.07,0.2778,0.193357659,5.37147576702
3.4,0.1,0.07,0.2778,0.193357659,5.37147576702
4.5,0.1,0.07,0.2778,0.193357659,5.37147576702
5.6,0.1,0.07,0.2778,0.193357659,5.37147576702
6.7,0.1,0.07,0.2778,0.193357659,5.37147576702
7.8,0.1,0.07,0.2778,0.193357659,5.37147576702
8.9,0.1,0.07,0.2778,0.193357659,5.37147576702
10.0,0.1,0.07,0.2778,0.193357659,5.37147576702
0.1,0.1,0.07,0.3667,0.14672152,5.3802781384
1.2,0.1,0.07,0.3667,0.14672152,5.3802781384
2.3,0.1,0.07,0.3667,0.14672152,5.3802781384
3.4,0.1,0.07,0.3667,0.14672152,5.3802781384
4.5,0.1,0.07,0.3667,0.14672152,5.3802781384
5.6,0.1,0.07,0.3667,0.14672152,5.3802781384
6.7,0.1,0.07,0.3667,0.14672152,5.3802781384
7.8,0.1,0.07,0.3667,0.14672152,5.3802781384
8.9,0.1,0.07,0.3667,0.14672152,5.3802781384
