ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,Phi2,Result
0.1,0.07,0.1,0.1,0.306326554,3.06326554
0.1,0.07,0.1,0.5,0.496453404,4.96453404
0.1,0.07,0.1,1.0,0.525843149,5.2584314899999995
0.1,0.07,0.1,4.0,0.661200135,6.612001350000001
0.1,0.07,0.1,6.0,0.745167597,7.45167597
0.1,0.07,0.1,8.0,0.821787819,8.21787819
0.1,0.07,0.1,10.0,0.884615455,8.846154550000001
0.1,0.07,0.3,0.1,0.155442796,4.66328388
0.1,0.07,0.3,0.5,0.170568541,5.117056229999999
0.1,0.07,0.3,1.0,0.179136809,5.37410427
0.1,0.07,0.3,4.0,0.226166157,6.78498471
0.1,0.07,0.3,6.0,0.257175889,7.71527667
0.1,0.07,0.3,8.0,0.288136077,8.64408231
0.1,0.07,0.3,10.0,0.31906857,9.572057099999999
0.1,0.07,0.5,0.1,0.094989602,4.7494801
0.1,0.07,0.5,0.5,0.102634234,5.1317117
0.1,0.07,0.5,1.0,0.107722847,5.38614235
0.1,0.07,0.5,4.0,0.135978057,6.798902850000001
0.1,0.07,0.5,6.0,0.154637024,7.7318512
0.1,0.07,0.5,8.0,0.17327916,8.663958
0.1,0.07,0.5,10.0,0.191909023,9.59545115
0.1,0.07,0.7,0.1,0.068234939,4.776445729999999
0.1,0.07,0.7,0.5,0.073387926,5.13715482
0.1,0.07,0.7,1.0,0.077011357,5.39079499
0.1,0.07,0.7,4.0,0.097203395,6.804237649999998
0.1,0.07,0.7,6.0,0.110547555,7.738328849999999
0.1,0.07,0.7,8.0,0.123868772,8.67081404
0.1,0.07,0.7,10.0,0.137193682,9.60355774
0.1,0.07,0.9,0.1,0.053214039,4.78926351
0.1,0.07,0.9,0.5,0.057111503,5.14003527
0.1,0.07,0.9,1.0,0.059926609,5.393394809999999
0.1,0.07,0.9,4.0,0.075633563,6.80702067
0.1,0.07,0.9,6.0,0.086018036,7.741623240000001
0.1,0.07,0.9,8.0,0.096385808,8.67472272
0.1,0.07,0.9,10.0,0.106755983,9.60803847
0.1,0.1,0.1,0.1,0.312619807,3.1261980700000005
0.1,0.1,0.1,0.5,0.501857588,5.018575880000001
0.1,0.1,0.1,1.0,0.532622828,5.3262282800000005
0.1,0.1,0.1,4.0,0.681901855,6.81901855
0.1,0.1,0.1,6.0,0.773086755,7.730867550000001
0.1,0.1,0.1,8.0,0.852055709,8.52055709
0.1,0.1,0.1,10.0,0.909496936,9.09496936
0.1,0.1,0.3,0.1,0.158751081,4.762532429999999
0.1,0.1,0.3,0.5,0.172444015,5.173320449999999
0.1,0.1,0.3,1.0,0.181734869,5.45204607
0.1,0.1,0.3,4.0,0.23430095,7.029028499999999
0.1,0.1,0.3,6.0,0.269087445,8.072623349999999
0.1,0.1,0.3,8.0,0.303828762,9.114862859999999
0.1,0.1,0.3,10.0,0.338536726,10.15610178
0.1,0.1,0.5,0.1,0.096737585,4.83687925
0.1,0.1,0.5,0.5,0.103769979,5.18849895
0.1,0.1,0.5,1.0,0.109303756,5.4651878
0.1,0.1,0.5,4.0,0.140904798,7.0452399
0.1,0.1,0.5,6.0,0.1618487,8.092435
0.1,0.1,0.5,8.0,0.182773828,9.1386914
0.1,0.1,0.5,10.0,0.203692197,10.18460985
0.1,0.1,0.7,0.1,0.069426226,4.859835819999999
0.1,0.1,0.7,0.5,0.074202415,5.194169049999999
0.1,0.1,0.7,1.0,0.078145075,5.4701552499999995
0.1,0.1,0.7,4.0,0.1007314,7.0511979999999985
0.1,0.1,0.7,6.0,0.115704678,8.09932746
0.1,0.1,0.7,8.0,0.130672162,9.147051339999999
0.1,0.1,0.7,10.0,0.145628569,10.19399983
0.1,0.1,0.9,0.1,0.054119873,4.87078857
0.1,0.1,0.9,0.5,0.057744418,5.196997619999999
0.1,0.1,0.9,1.0,0.060810779,5.47297011
0.1,0.1,0.9,4.0,0.078384361,7.05459249
0.1,0.1,0.9,6.0,0.090033941,8.103054690000002
0.1,0.1,0.9,8.0,0.101676466,9.15088194
0.1,0.1,0.9,10.0,0.113320432,10.19883888
0.1,1.0,0.1,0.1,0.322185383,3.22185383
0.1,1.0,0.1,0.5,0.524126004,5.24126004
0.1,1.0,0.1,1.0,0.577950693,5.77950693
0.1,1.0,0.1,4.0,0.833237052,8.33237052
0.1,1.0,0.1,6.0,0.917081748,9.17081748
0.1,1.0,0.1,8.0,0.950667664,9.50667664
0.1,1.0,0.1,10.0,0.965836106,9.65836106
0.1,1.0,0.3,0.1,0.166448111,4.993443330000001
0.1,1.0,0.3,0.5,0.183372278,5.5011683399999995
0.1,1.0,0.3,1.0,0.202116316,6.063489479999999
0.1,1.0,0.3,4.0,0.313454803,9.40364409
0.1,1.0,0.3,6.0,0.387306315,11.61918945
0.1,1.0,0.3,8.0,0.460790217,13.823706510000001
0.1,1.0,0.3,10.0,0.533750668,16.01252004
0.1,1.0,0.5,0.1,0.100965759,5.04828795
0.1,1.0,0.5,0.5,0.11056384,5.528192
0.1,1.0,0.5,1.0,0.121840612,6.0920306
0.1,1.0,0.5,4.0,0.189124411,9.45622055
0.1,1.0,0.5,6.0,0.233909171,11.69545855
0.1,1.0,0.5,8.0,0.278652973,13.93264865
0.1,1.0,0.5,10.0,0.323350462,16.1675231
0.1,1.0,0.7,0.1,0.07236963,5.0658741
0.1,1.0,0.7,0.5,0.079119964,5.5383974799999995
0.1,1.0,0.7,1.0,0.087182232,6.102756239999999
0.1,1.0,0.7,4.0,0.135343148,9.474020359999999
0.1,1.0,0.7,6.0,0.167425955,11.719816849999997
0.1,1.0,0.7,8.0,0.199492235,13.964456449999998
0.1,1.0,0.7,10.0,0.231552926,16.208704819999998
0.1,1.0,0.9,0.1,0.056385494,5.07469446
0.1,1.0,0.9,0.5,0.061598706,5.54388354
0.1,1.0,0.9,1.0,0.067870911,6.108381990000001
0.1,1.0,0.9,4.0,0.105368773,9.48318957
0.1,1.0,0.9,6.0,0.130352759,11.73174831
0.1,1.0,0.9,8.0,0.155333006,13.97997054
0.1,1.0,0.9,10.0,0.180301975,16.227177750000003
0.1,3.0,0.1,0.1,0.322637656,3.2263765600000003
0.1,3.0,0.1,0.5,0.536230765,5.362307650000001
0.1,3.0,0.1,1.0,0.608334528,6.08334528
0.1,3.0,0.1,4.0,0.887222891,8.87222891
0.1,3.0,0.1,6.0,0.940957401,9.40957401
0.1,3.0,0.1,8.0,0.961516479,9.615164790000001
0.1,3.0,0.1,10.0,0.971705212,9.717052120000002
0.1,3.0,0.3,0.1,0.167878457,5.03635371
0.1,3.0,0.3,0.5,0.191080077,5.7324023099999994
0.1,3.0,0.3,1.0,0.21806549,6.541964699999999
0.1,3.0,0.3,4.0,0.378423471,11.35270413
0.1,3.0,0.3,6.0,0.484050838,14.52152514
0.1,3.0,0.3,8.0,0.587891994,17.63675982
0.1,3.0,0.3,10.0,0.688431517,20.652945510000002
0.1,3.0,0.5,0.1,0.101967117,5.09835585
0.1,3.0,0.5,0.5,0.115437233,5.77186165
0.1,3.0,0.5,1.0,0.131737664,6.5868832
0.1,3.0,0.5,4.0,0.229166362,11.458318100000001
0.1,3.0,0.5,6.0,0.293957022,14.697851100000001
0.1,3.0,0.5,8.0,0.358583064,17.929153200000002
0.1,3.0,0.5,10.0,0.422995872,21.1497936
0.1,3.0,0.7,0.1,0.07312832,5.118982399999999
0.1,3.0,0.7,0.5,0.082669199,5.78684393
0.1,3.0,0.7,1.0,0.094338091,6.60366637
0.1,3.0,0.7,4.0,0.164182385,11.492766949999998
0.1,3.0,0.7,6.0,0.210693814,14.74856698
0.1,3.0,0.7,8.0,0.257156525,18.00095675
0.1,3.0,0.7,10.0,0.303568539,21.24979773
0.1,3.0,0.9,0.1,0.056995907,5.1296316299999996
0.1,3.0,0.9,0.5,0.064386207,5.79475863
0.1,3.0,0.9,1.0,0.073471302,6.6124171800000004
0.1,3.0,0.9,4.0,0.127883582,11.50952238
0.1,3.0,0.9,6.0,0.164142377,14.77281393
0.1,3.0,0.9,8.0,0.200369631,18.03326679
0.1,3.0,0.9,10.0,0.236588045,21.29292405
0.1,5.0,0.1,0.1,0.32272631,3.2272631000000005
0.1,5.0,0.1,0.5,0.543035026,5.43035026
0.1,5.0,0.1,1.0,0.625095351,6.2509535099999995
0.1,5.0,0.1,4.0,0.903148154,9.031481540000001
0.1,5.0,0.1,6.0,0.947075478,9.470754780000002
0.1,5.0,0.1,8.0,0.964441773,9.64441773
0.1,5.0,0.1,10.0,0.973378143,9.73378143
0.1,5.0,0.3,0.1,0.168560963,5.05682889
0.1,5.0,0.3,0.5,0.195775316,5.87325948
0.1,5.0,0.3,1.0,0.227835328,6.83505984
0.1,5.0,0.3,4.0,0.417985933,12.539577989999998
0.1,5.0,0.3,6.0,0.542240033,16.26720099
0.1,5.0,0.3,8.0,0.662337475,19.87012425
0.1,5.0,0.3,10.0,0.773414905,23.20244715
0.1,5.0,0.5,0.1,0.102488125,5.12440625
0.1,5.0,0.5,0.5,0.118421389,5.92106945
0.1,5.0,0.5,1.0,0.13782933,6.8914665
0.1,5.0,0.5,4.0,0.253846498,12.6923249
0.1,5.0,0.5,6.0,0.330902305,16.545115250000002
0.1,5.0,0.5,8.0,0.407638695,20.38193475
0.1,5.0,0.5,10.0,0.483928816,24.196440799999998
0.1,5.0,0.7,0.1,0.073534609,5.147422629999999
