P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial.1,Phi2,Result
0.7,0.1,0.07,0.1,0.7,0.660750542,6.607505420000001
0.7,0.1,0.07,0.1,0.7,0.660750542,6.607505420000001
0.7,0.1,0.07,0.1,0.7,0.660750542,6.607505420000001
0.7,0.1,0.07,0.1,0.7,0.660750542,6.607505420000001
0.7,0.1,0.07,0.1,0.7,0.660750542,6.607505420000001
0.7,0.1,0.07,0.1,0.7,0.660750542,6.607505420000001
0.7,0.1,0.07,0.1,0.7,0.660750542,6.607505420000001
0.7,0.1,0.07,0.3,0.7,0.620414232,18.61242696
0.7,0.1,0.07,0.3,0.7,0.620414232,18.61242696
0.7,0.1,0.07,0.3,0.7,0.620414232,18.61242696
0.7,0.1,0.07,0.3,0.7,0.620414232,18.61242696
0.7,0.1,0.07,0.3,0.7,0.620414232,18.61242696
0.7,0.1,0.07,0.3,0.7,0.620414232,18.61242696
0.7,0.1,0.07,0.3,0.7,0.620414232,18.61242696
0.7,0.1,0.07,0.5,0.7,0.534083434,26.7041717
0.7,0.1,0.07,0.5,0.7,0.534083434,26.7041717
0.7,0.1,0.07,0.5,0.7,0.534083434,26.7041717
0.7,0.1,0.07,0.5,0.7,0.534083434,26.7041717
0.7,0.1,0.07,0.5,0.7,0.534083434,26.7041717
0.7,0.1,0.07,0.5,0.7,0.534083434,26.7041717
0.7,0.1,0.07,0.5,0.7,0.534083434,26.7041717
0.7,0.1,0.07,0.7,0.7,0.412631743,28.88422201
0.7,0.1,0.07,0.7,0.7,0.412631743,28.88422201
0.7,0.1,0.07,0.7,0.7,0.412631743,28.88422201
0.7,0.1,0.07,0.7,0.7,0.412631743,28.88422201
0.7,0.1,0.07,0.7,0.7,0.412631743,28.88422201
0.7,0.1,0.07,0.7,0.7,0.412631743,28.88422201
0.7,0.1,0.07,0.7,0.7,0.412631743,28.88422201
0.7,0.1,0.07,0.9,0.7,0.32881097,29.5929873
0.7,0.1,0.07,0.9,0.7,0.32881097,29.5929873
0.7,0.1,0.07,0.9,0.7,0.32881097,29.5929873
0.7,0.1,0.07,0.9,0.7,0.32881097,29.5929873
0.7,0.1,0.07,0.9,0.7,0.32881097,29.5929873
0.7,0.1,0.07,0.9,0.7,0.32881097,29.5929873
0.7,0.1,0.07,0.9,0.7,0.32881097,29.5929873
0.7,0.1,0.1,0.1,0.7,0.692372557,6.92372557
0.7,0.1,0.1,0.1,0.7,0.692372557,6.92372557
0.7,0.1,0.1,0.1,0.7,0.692372557,6.92372557
0.7,0.1,0.1,0.1,0.7,0.692372557,6.92372557
0.7,0.1,0.1,0.1,0.7,0.692372557,6.92372557
0.7,0.1,0.1,0.1,0.7,0.692372557,6.92372557
0.7,0.1,0.1,0.1,0.7,0.692372557,6.92372557
0.7,0.1,0.1,0.3,0.7,0.666827281,20.00481843
0.7,0.1,0.1,0.3,0.7,0.666827281,20.00481843
0.7,0.1,0.1,0.3,0.7,0.666827281,20.00481843
0.7,0.1,0.1,0.3,0.7,0.666827281,20.00481843
0.7,0.1,0.1,0.3,0.7,0.666827281,20.00481843
0.7,0.1,0.1,0.3,0.7,0.666827281,20.00481843
0.7,0.1,0.1,0.3,0.7,0.666827281,20.00481843
0.7,0.1,0.1,0.5,0.7,0.587120813,29.356040649999997
0.7,0.1,0.1,0.5,0.7,0.587120813,29.356040649999997
0.7,0.1,0.1,0.5,0.7,0.587120813,29.356040649999997
0.7,0.1,0.1,0.5,0.7,0.587120813,29.356040649999997
0.7,0.1,0.1,0.5,0.7,0.587120813,29.356040649999997
0.7,0.1,0.1,0.5,0.7,0.587120813,29.356040649999997
0.7,0.1,0.1,0.5,0.7,0.587120813,29.356040649999997
0.7,0.1,0.1,0.7,0.7,0.452527996,31.67695972
0.7,0.1,0.1,0.7,0.7,0.452527996,31.67695972
0.7,0.1,0.1,0.7,0.7,0.452527996,31.67695972
0.7,0.1,0.1,0.7,0.7,0.452527996,31.67695972
0.7,0.1,0.1,0.7,0.7,0.452527996,31.67695972
0.7,0.1,0.1,0.7,0.7,0.452527996,31.67695972
0.7,0.1,0.1,0.7,0.7,0.452527996,31.67695972
0.7,0.1,0.1,0.9,0.7,0.359320305,32.338827450000004
0.7,0.1,0.1,0.9,0.7,0.359320305,32.338827450000004
0.7,0.1,0.1,0.9,0.7,0.359320305,32.338827450000004
0.7,0.1,0.1,0.9,0.7,0.359320305,32.338827450000004
0.7,0.1,0.1,0.9,0.7,0.359320305,32.338827450000004
0.7,0.1,0.1,0.9,0.7,0.359320305,32.338827450000004
0.7,0.1,0.1,0.9,0.7,0.359320305,32.338827450000004
0.7,0.1,1.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.1,1.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.1,1.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.1,1.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.1,1.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.1,1.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.1,1.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.1,1.0,0.3,0.7,0.766486426,22.99459278
0.7,0.1,1.0,0.3,0.7,0.766486426,22.99459278
0.7,0.1,1.0,0.3,0.7,0.766486426,22.99459278
0.7,0.1,1.0,0.3,0.7,0.766486426,22.99459278
0.7,0.1,1.0,0.3,0.7,0.766486426,22.99459278
0.7,0.1,1.0,0.3,0.7,0.766486426,22.99459278
0.7,0.1,1.0,0.3,0.7,0.766486426,22.99459278
0.7,0.1,1.0,0.5,0.7,0.691971105,34.598555250000004
0.7,0.1,1.0,0.5,0.7,0.691971105,34.598555250000004
