Phi2,P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,
0.727233132,0.7,0.1,0.07,0.1,0.7,7.272331317
0.727233132,0.7,0.1,0.07,0.1,0.7,7.272331317
0.727233132,0.7,0.1,0.07,0.1,0.7,7.272331317
0.727233132,0.7,0.1,0.07,0.1,0.7,7.272331317
0.727233132,0.7,0.1,0.07,0.1,0.7,7.272331317
0.727233132,0.7,0.1,0.07,0.1,0.7,7.272331317
0.727233132,0.7,0.1,0.07,0.1,0.7,7.272331317
0.698186242,0.7,0.1,0.07,0.3,0.7,20.94558725
0.698186242,0.7,0.1,0.07,0.3,0.7,20.94558725
0.698186242,0.7,0.1,0.07,0.3,0.7,20.94558725
0.698186242,0.7,0.1,0.07,0.3,0.7,20.94558725
0.698186242,0.7,0.1,0.07,0.3,0.7,20.94558725
0.698186242,0.7,0.1,0.07,0.3,0.7,20.94558725
0.698186242,0.7,0.1,0.07,0.3,0.7,20.94558725
0.577465378,0.7,0.1,0.07,0.5,0.7,28.8732689
0.577465378,0.7,0.1,0.07,0.5,0.7,28.8732689
0.577465378,0.7,0.1,0.07,0.5,0.7,28.8732689
0.577465378,0.7,0.1,0.07,0.5,0.7,28.8732689
0.577465378,0.7,0.1,0.07,0.5,0.7,28.8732689
0.577465378,0.7,0.1,0.07,0.5,0.7,28.8732689
0.577465378,0.7,0.1,0.07,0.5,0.7,28.8732689
0.435765249,0.7,0.1,0.07,0.7,0.7,30.50356742
0.435765249,0.7,0.1,0.07,0.7,0.7,30.50356742
0.435765249,0.7,0.1,0.07,0.7,0.7,30.50356742
0.435765249,0.7,0.1,0.07,0.7,0.7,30.50356742
0.435765249,0.7,0.1,0.07,0.7,0.7,30.50356742
0.435765249,0.7,0.1,0.07,0.7,0.7,30.50356742
0.435765249,0.7,0.1,0.07,0.7,0.7,30.50356742
0.344574647,0.7,0.1,0.07,0.9,0.7,31.01171819
0.344574647,0.7,0.1,0.07,0.9,0.7,31.01171819
0.344574647,0.7,0.1,0.07,0.9,0.7,31.01171819
0.344574647,0.7,0.1,0.07,0.9,0.7,31.01171819
0.344574647,0.7,0.1,0.07,0.9,0.7,31.01171819
0.344574647,0.7,0.1,0.07,0.9,0.7,31.01171819
0.344574647,0.7,0.1,0.07,0.9,0.7,31.01171819
0.755862445,0.7,0.1,0.1,0.1,0.7,7.558624455
0.755862445,0.7,0.1,0.1,0.1,0.7,7.558624455
0.755862445,0.7,0.1,0.1,0.1,0.7,7.558624455
0.755862445,0.7,0.1,0.1,0.1,0.7,7.558624455
0.755862445,0.7,0.1,0.1,0.1,0.7,7.558624455
0.755862445,0.7,0.1,0.1,0.1,0.7,7.558624455
0.755862445,0.7,0.1,0.1,0.1,0.7,7.558624455
0.739921556,0.7,0.1,0.1,0.3,0.7,22.19764667
0.739921556,0.7,0.1,0.1,0.3,0.7,22.19764667
0.739921556,0.7,0.1,0.1,0.3,0.7,22.19764667
0.739921556,0.7,0.1,0.1,0.3,0.7,22.19764667
0.739921556,0.7,0.1,0.1,0.3,0.7,22.19764667
0.739921556,0.7,0.1,0.1,0.3,0.7,22.19764667
0.739921556,0.7,0.1,0.1,0.3,0.7,22.19764667
0.628324121,0.7,0.1,0.1,0.5,0.7,31.41620603
0.628324121,0.7,0.1,0.1,0.5,0.7,31.41620603
0.628324121,0.7,0.1,0.1,0.5,0.7,31.41620603
0.628324121,0.7,0.1,0.1,0.5,0.7,31.41620603
0.628324121,0.7,0.1,0.1,0.5,0.7,31.41620603
0.628324121,0.7,0.1,0.1,0.5,0.7,31.41620603
0.628324121,0.7,0.1,0.1,0.5,0.7,31.41620603
0.473086995,0.7,0.1,0.1,0.7,0.7,33.11608968
0.473086995,0.7,0.1,0.1,0.7,0.7,33.11608968
0.473086995,0.7,0.1,0.1,0.7,0.7,33.11608968
0.473086995,0.7,0.1,0.1,0.7,0.7,33.11608968
0.473086995,0.7,0.1,0.1,0.7,0.7,33.11608968
0.473086995,0.7,0.1,0.1,0.7,0.7,33.11608968
0.473086995,0.7,0.1,0.1,0.7,0.7,33.11608968
0.373261746,0.7,0.1,0.1,0.9,0.7,33.59355715
0.373261746,0.7,0.1,0.1,0.9,0.7,33.59355715
0.373261746,0.7,0.1,0.1,0.9,0.7,33.59355715
0.373261746,0.7,0.1,0.1,0.9,0.7,33.59355715
0.373261746,0.7,0.1,0.1,0.9,0.7,33.59355715
0.373261746,0.7,0.1,0.1,0.9,0.7,33.59355715
0.373261746,0.7,0.1,0.1,0.9,0.7,33.59355715
0.828094109,0.7,0.1,1,0.1,0.7,8.280941087
0.828094109,0.7,0.1,1,0.1,0.7,8.280941087
0.828094109,0.7,0.1,1,0.1,0.7,8.280941087
0.828094109,0.7,0.1,1,0.1,0.7,8.280941087
0.828094109,0.7,0.1,1,0.1,0.7,8.280941087
0.828094109,0.7,0.1,1,0.1,0.7,8.280941087
0.828094109,0.7,0.1,1,0.1,0.7,8.280941087
0.82321432,0.7,0.1,1,0.3,0.7,24.6964296
0.82321432,0.7,0.1,1,0.3,0.7,24.6964296
0.82321432,0.7,0.1,1,0.3,0.7,24.6964296
0.82321432,0.7,0.1,1,0.3,0.7,24.6964296
0.82321432,0.7,0.1,1,0.3,0.7,24.6964296
0.82321432,0.7,0.1,1,0.3,0.7,24.6964296
0.82321432,0.7,0.1,1,0.3,0.7,24.6964296
0.721934523,0.7,0.1,1,0.5,0.7,36.09672614
0.721934523,0.7,0.1,1,0.5,0.7,36.09672614
0.721934523,0.7,0.1,1,0.5,0.7,36.09672614
0.721934523,0.7,0.1,1,0.5,0.7,36.09672614
0.721934523,0.7,0.1,1,0.5,0.7,36.09672614
0.721934523,0.7,0.1,1,0.5,0.7,36.09672614
0.721934523,0.7,0.1,1,0.5,0.7,36.09672614
0.540458736,0.7,0.1,1,0.7,0.7,37.83211154
0.540458736,0.7,0.1,1,0.7,0.7,37.83211154
0.540458736,0.7,0.1,1,0.7,0.7,37.83211154
0.540458736,0.7,0.1,1,0.7,0.7,37.83211154
0.540458736,0.7,0.1,1,0.7,0.7,37.83211154
0.540458736,0.7,0.1,1,0.7,0.7,37.83211154
0.540458736,0.7,0.1,1,0.7,0.7,37.83211154
0.425484013,0.7,0.1,1,0.9,0.7,38.29356121
0.425484013,0.7,0.1,1,0.9,0.7,38.29356121
0.425484013,0.7,0.1,1,0.9,0.7,38.29356121
0.425484013,0.7,0.1,1,0.9,0.7,38.29356121
0.425484013,0.7,0.1,1,0.9,0.7,38.29356121
0.425484013,0.7,0.1,1,0.9,0.7,38.29356121
0.425484013,0.7,0.1,1,0.9,0.7,38.29356121
0.829700135,0.7,0.1,3,0.1,0.7,8.297001354
0.829700135,0.7,0.1,3,0.1,0.7,8.297001354
0.829700135,0.7,0.1,3,0.1,0.7,8.297001354
0.829700135,0.7,0.1,3,0.1,0.7,8.297001354
0.829700135,0.7,0.1,3,0.1,0.7,8.297001354
0.829700135,0.7,0.1,3,0.1,0.7,8.297001354
0.829700135,0.7,0.1,3,0.1,0.7,8.297001354
0.825035309,0.7,0.1,3,0.3,0.7,24.75105927
0.825035309,0.7,0.1,3,0.3,0.7,24.75105927
0.825035309,0.7,0.1,3,0.3,0.7,24.75105927
0.825035309,0.7,0.1,3,0.3,0.7,24.75105927
0.825035309,0.7,0.1,3,0.3,0.7,24.75105927
0.825035309,0.7,0.1,3,0.3,0.7,24.75105927
0.825035309,0.7,0.1,3,0.3,0.7,24.75105927
0.735808678,0.7,0.1,3,0.5,0.7,36.79043392
0.735808678,0.7,0.1,3,0.5,0.7,36.79043392
0.735808678,0.7,0.1,3,0.5,0.7,36.79043392
0.735808678,0.7,0.1,3,0.5,0.7,36.79043392
0.735808678,0.7,0.1,3,0.5,0.7,36.79043392
0.735808678,0.7,0.1,3,0.5,0.7,36.79043392
0.735808678,0.7,0.1,3,0.5,0.7,36.79043392
0.559737089,0.7,0.1,3,0.7,0.7,39.18159621
0.559737089,0.7,0.1,3,0.7,0.7,39.18159621
0.559737089,0.7,0.1,3,0.7,0.7,39.18159621
0.559737089,0.7,0.1,3,0.7,0.7,39.18159621
0.559737089,0.7,0.1,3,0.7,0.7,39.18159621
0.559737089,0.7,0.1,3,0.7,0.7,39.18159621
0.559737089,0.7,0.1,3,0.7,0.7,39.18159621
0.442801793,0.7,0.1,3,0.9,0.7,39.85216136
0.442801793,0.7,0.1,3,0.9,0.7,39.85216136
0.442801793,0.7,0.1,3,0.9,0.7,39.85216136
0.442801793,0.7,0.1,3,0.9,0.7,39.85216136
0.442801793,0.7,0.1,3,0.9,0.7,39.85216136
0.442801793,0.7,0.1,3,0.9,0.7,39.85216136
0.442801793,0.7,0.1,3,0.9,0.7,39.85216136
0.82984261,0.7,0.1,5,0.1,0.7,8.298426102
0.82984261,0.7,0.1,5,0.1,0.7,8.298426102
0.82984261,0.7,0.1,5,0.1,0.7,8.298426102
0.82984261,0.7,0.1,5,0.1,0.7,8.298426102
0.82984261,0.7,0.1,5,0.1,0.7,8.298426102
0.82984261,0.7,0.1,5,0.1,0.7,8.298426102
0.82984261,0.7,0.1,5,0.1,0.7,8.298426102
0.825262967,0.7,0.1,5,0.3,0.7,24.75788901
0.825262967,0.7,0.1,5,0.3,0.7,24.75788901
0.825262967,0.7,0.1,5,0.3,0.7,24.75788901
0.825262967,0.7,0.1,5,0.3,0.7,24.75788901
0.825262967,0.7,0.1,5,0.3,0.7,24.75788901
0.825262967,0.7,0.1,5,0.3,0.7,24.75788901
0.825262967,0.7,0.1,5,0.3,0.7,24.75788901
0.742150502,0.7,0.1,5,0.5,0.7,37.10752512
0.742150502,0.7,0.1,5,0.5,0.7,37.10752512
0.742150502,0.7,0.1,5,0.5,0.7,37.10752512
0.742150502,0.7,0.1,5,0.5,0.7,37.10752512
0.742150502,0.7,0.1,5,0.5,0.7,37.10752512
0.742150502,0.7,0.1,5,0.5,0.7,37.10752512
0.742150502,0.7,0.1,5,0.5,0.7,37.10752512
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.460079785,0.7,0.1,7,0.9,0.7,41.40718064
0.460079785,0.7,0.1,7,0.9,0.7,41.40718064
0.460079785,0.7,0.1,7,0.9,0.7,41.40718064
