ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial
0.1,0.07,0.1,0.1,0.1
0.1,0.07,0.1,1.2,0.1
0.1,0.07,0.1,2.3,0.1
0.1,0.07,0.1,3.4,0.1
0.1,0.07,0.1,4.5,0.1
0.1,0.07,0.1,5.6,0.1
0.1,0.07,0.1,6.7,0.1
0.1,0.07,0.1,7.8,0.1
0.1,0.07,0.1,8.9,0.1
0.1,0.07,0.1,10.0,0.1
0.1,0.07,0.18888889,0.1,0.1
0.1,0.07,0.18888889,1.2,0.1
0.1,0.07,0.18888889,2.3,0.1
0.1,0.07,0.18888889,3.4,0.1
0.1,0.07,0.18888889,4.5,0.1
0.1,0.07,0.18888889,5.6,0.1
0.1,0.07,0.18888889,6.7,0.1
0.1,0.07,0.18888889,7.8,0.1
0.1,0.07,0.18888889,8.9,0.1
0.1,0.07,0.18888889,10.0,0.1
0.1,0.07,0.27777778,0.1,0.1
0.1,0.07,0.27777778,1.2,0.1
0.1,0.07,0.27777778,2.3,0.1
0.1,0.07,0.27777778,3.4,0.1
0.1,0.07,0.27777778,4.5,0.1
0.1,0.07,0.27777778,5.6,0.1
0.1,0.07,0.27777778,6.7,0.1
0.1,0.07,0.27777778,7.8,0.1
0.1,0.07,0.27777778,8.9,0.1
0.1,0.07,0.27777778,10.0,0.1
0.1,0.07,0.36666667,0.1,0.1
0.1,0.07,0.36666667,1.2,0.1
0.1,0.07,0.36666667,2.3,0.1
0.1,0.07,0.36666667,3.4,0.1
0.1,0.07,0.36666667,4.5,0.1
0.1,0.07,0.36666667,5.6,0.1
0.1,0.07,0.36666667,6.7,0.1
0.1,0.07,0.36666667,7.8,0.1
0.1,0.07,0.36666667,8.9,0.1
0.1,0.07,0.36666667,10.0,0.1
0.1,0.07,0.45555556,0.1,0.1
0.1,0.07,0.45555556,1.2,0.1
0.1,0.07,0.45555556,2.3,0.1
0.1,0.07,0.45555556,3.4,0.1
0.1,0.07,0.45555556,4.5,0.1
0.1,0.07,0.45555556,5.6,0.1
0.1,0.07,0.45555556,6.7,0.1
0.1,0.07,0.45555556,7.8,0.1
0.1,0.07,0.45555556,8.9,0.1
0.1,0.07,0.45555556,10.0,0.1
0.1,0.07,0.54444444,0.1,0.1
0.1,0.07,0.54444444,1.2,0.1
0.1,0.07,0.54444444,2.3,0.1
0.1,0.07,0.54444444,3.4,0.1
0.1,0.07,0.54444444,4.5,0.1
0.1,0.07,0.54444444,5.6,0.1
0.1,0.07,0.54444444,6.7,0.1
0.1,0.07,0.54444444,7.8,0.1
0.1,0.07,0.54444444,8.9,0.1
0.1,0.07,0.54444444,10.0,0.1
0.1,0.07,0.63333333,0.1,0.1
0.1,0.07,0.63333333,1.2,0.1
0.1,0.07,0.63333333,2.3,0.1
0.1,0.07,0.63333333,3.4,0.1
0.1,0.07,0.63333333,4.5,0.1
0.1,0.07,0.63333333,5.6,0.1
0.1,0.07,0.63333333,6.7,0.1
0.1,0.07,0.63333333,7.8,0.1
0.1,0.07,0.63333333,8.9,0.1
0.1,0.07,0.63333333,10.0,0.1
0.1,0.07,0.72222222,0.1,0.1
0.1,0.07,0.72222222,1.2,0.1
0.1,0.07,0.72222222,2.3,0.1
0.1,0.07,0.72222222,3.4,0.1
0.1,0.07,0.72222222,4.5,0.1
0.1,0.07,0.72222222,5.6,0.1
0.1,0.07,0.72222222,6.7,0.1
0.1,0.07,0.72222222,7.8,0.1
0.1,0.07,0.72222222,8.9,0.1
0.1,0.07,0.72222222,10.0,0.1
0.1,0.07,0.81111111,0.1,0.1
0.1,0.07,0.81111111,1.2,0.1
0.1,0.07,0.81111111,2.3,0.1
0.1,0.07,0.81111111,3.4,0.1
0.1,0.07,0.81111111,4.5,0.1
0.1,0.07,0.81111111,5.6,0.1
0.1,0.07,0.81111111,6.7,0.1
0.1,0.07,0.81111111,7.8,0.1
0.1,0.07,0.81111111,8.9,0.1
0.1,0.07,0.81111111,10.0,0.1
0.1,0.07,0.9,0.1,0.1
0.1,0.07,0.9,1.2,0.1
0.1,0.07,0.9,2.3,0.1
0.1,0.07,0.9,3.4,0.1
0.1,0.07,0.9,4.5,0.1
0.1,0.07,0.9,5.6,0.1
0.1,0.07,0.9,6.7,0.1
0.1,0.07,0.9,7.8,0.1
0.1,0.07,0.9,8.9,0.1
0.1,0.07,0.9,10.0,0.1
0.1,0.84,0.1,0.1,1.2
0.1,0.84,0.1,1.2,1.2
0.1,0.84,0.1,2.3,1.2
0.1,0.84,0.1,3.4,1.2
0.1,0.84,0.1,4.5,1.2
0.1,0.84,0.1,5.6,1.2
0.1,0.84,0.1,6.7,1.2
0.1,0.84,0.1,7.8,1.2
0.1,0.84,0.1,8.9,1.2
0.1,0.84,0.1,10.0,1.2
0.1,0.84,0.18888889,0.1,1.2
0.1,0.84,0.18888889,1.2,1.2
0.1,0.84,0.18888889,2.3,1.2
0.1,0.84,0.18888889,3.4,1.2
0.1,0.84,0.18888889,4.5,1.2
0.1,0.84,0.18888889,5.6,1.2
0.1,0.84,0.18888889,6.7,1.2
0.1,0.84,0.18888889,7.8,1.2
0.1,0.84,0.18888889,8.9,1.2
0.1,0.84,0.18888889,10.0,1.2
0.1,0.84,0.27777778,0.1,1.2
0.1,0.84,0.27777778,1.2,1.2
0.1,0.84,0.27777778,2.3,1.2
0.1,0.84,0.27777778,3.4,1.2
0.1,0.84,0.27777778,4.5,1.2
0.1,0.84,0.27777778,5.6,1.2
0.1,0.84,0.27777778,6.7,1.2
0.1,0.84,0.27777778,7.8,1.2
0.1,0.84,0.27777778,8.9,1.2
0.1,0.84,0.27777778,10.0,1.2
0.1,0.84,0.36666667,0.1,1.2
0.1,0.84,0.36666667,1.2,1.2
0.1,0.84,0.36666667,2.3,1.2
0.1,0.84,0.36666667,3.4,1.2
0.1,0.84,0.36666667,4.5,1.2
0.1,0.84,0.36666667,5.6,1.2
0.1,0.84,0.36666667,6.7,1.2
0.1,0.84,0.36666667,7.8,1.2
0.1,0.84,0.36666667,8.9,1.2
0.1,0.84,0.36666667,10.0,1.2
0.1,0.84,0.45555556,0.1,1.2
0.1,0.84,0.45555556,1.2,1.2
0.1,0.84,0.45555556,2.3,1.2
0.1,0.84,0.45555556,3.4,1.2
0.1,0.84,0.45555556,4.5,1.2
0.1,0.84,0.45555556,5.6,1.2
0.1,0.84,0.45555556,6.7,1.2
0.1,0.84,0.45555556,7.8,1.2
0.1,0.84,0.45555556,8.9,1.2
0.1,0.84,0.45555556,10.0,1.2
0.1,0.84,0.54444444,0.1,1.2
0.1,0.84,0.54444444,1.2,1.2
0.1,0.84,0.54444444,2.3,1.2
0.1,0.84,0.54444444,3.4,1.2
0.1,0.84,0.54444444,4.5,1.2
0.1,0.84,0.54444444,5.6,1.2
0.1,0.84,0.54444444,6.7,1.2
0.1,0.84,0.54444444,7.8,1.2
0.1,0.84,0.54444444,8.9,1.2
0.1,0.84,0.54444444,10.0,1.2
0.1,0.84,0.63333333,0.1,1.2
0.1,0.84,0.63333333,1.2,1.2
0.1,0.84,0.63333333,2.3,1.2
0.1,0.84,0.63333333,3.4,1.2
0.1,0.84,0.63333333,4.5,1.2
0.1,0.84,0.63333333,5.6,1.2
0.1,0.84,0.63333333,6.7,1.2
0.1,0.84,0.63333333,7.8,1.2
0.1,0.84,0.63333333,8.9,1.2
0.1,0.84,0.63333333,10.0,1.2
0.1,0.84,0.72222222,0.1,1.2
0.1,0.84,0.72222222,1.2,1.2
0.1,0.84,0.72222222,2.3,1.2
0.1,0.84,0.72222222,3.4,1.2
0.1,0.84,0.72222222,4.5,1.2
0.1,0.84,0.72222222,5.6,1.2
0.1,0.84,0.72222222,6.7,1.2
0.1,0.84,0.72222222,7.8,1.2
0.1,0.84,0.72222222,8.9,1.2
0.1,0.84,0.72222222,10.0,1.2
0.1,0.84,0.81111111,0.1,1.2
0.1,0.84,0.81111111,1.2,1.2
0.1,0.84,0.81111111,2.3,1.2
0.1,0.84,0.81111111,3.4,1.2
0.1,0.84,0.81111111,4.5,1.2
0.1,0.84,0.81111111,5.6,1.2
0.1,0.84,0.81111111,6.7,1.2
0.1,0.84,0.81111111,7.8,1.2
0.1,0.84,0.81111111,8.9,1.2
0.1,0.84,0.81111111,10.0,1.2
0.1,0.84,0.9,0.1,1.2
0.1,0.84,0.9,1.2,1.2
0.1,0.84,0.9,2.3,1.2
0.1,0.84,0.9,3.4,1.2
0.1,0.84,0.9,4.5,1.2
0.1,0.84,0.9,5.6,1.2
0.1,0.84,0.9,6.7,1.2
0.1,0.84,0.9,7.8,1.2
0.1,0.84,0.9,8.9,1.2
0.1,0.84,0.9,10.0,1.2
0.1,1.61,0.1,0.1,2.3
0.1,1.61,0.1,1.2,2.3
0.1,1.61,0.1,2.3,2.3
