ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,idx
0.1,0.07,0.1,0.1,0.1,0
0.1,0.07,0.1,1.2,0.1,1
0.1,0.07,0.1,2.3,0.1,2
0.1,0.07,0.1,3.4,0.1,3
0.1,0.07,0.1,4.5,0.1,4
0.1,0.07,0.1,5.6,0.1,5
0.1,0.07,0.1,6.7,0.1,6
0.1,0.07,0.1,7.8,0.1,7
0.1,0.07,0.1,8.9,0.1,8
0.1,0.07,0.1,10.0,0.1,9
0.1,0.07,0.18888889,0.1,0.1,10
0.1,0.07,0.18888889,1.2,0.1,11
0.1,0.07,0.18888889,2.3,0.1,12
0.1,0.07,0.18888889,3.4,0.1,13
0.1,0.07,0.18888889,4.5,0.1,14
0.1,0.07,0.18888889,5.6,0.1,15
0.1,0.07,0.18888889,6.7,0.1,16
0.1,0.07,0.18888889,7.8,0.1,17
0.1,0.07,0.18888889,8.9,0.1,18
0.1,0.07,0.18888889,10.0,0.1,19
0.1,0.07,0.27777778,0.1,0.1,20
0.1,0.07,0.27777778,1.2,0.1,21
0.1,0.07,0.27777778,2.3,0.1,22
0.1,0.07,0.27777778,3.4,0.1,23
0.1,0.07,0.27777778,4.5,0.1,24
0.1,0.07,0.27777778,5.6,0.1,25
0.1,0.07,0.27777778,6.7,0.1,26
0.1,0.07,0.27777778,7.8,0.1,27
0.1,0.07,0.27777778,8.9,0.1,28
0.1,0.07,0.27777778,10.0,0.1,29
0.1,0.07,0.36666667,0.1,0.1,30
0.1,0.07,0.36666667,1.2,0.1,31
0.1,0.07,0.36666667,2.3,0.1,32
0.1,0.07,0.36666667,3.4,0.1,33
0.1,0.07,0.36666667,4.5,0.1,34
0.1,0.07,0.36666667,5.6,0.1,35
0.1,0.07,0.36666667,6.7,0.1,36
0.1,0.07,0.36666667,7.8,0.1,37
0.1,0.07,0.36666667,8.9,0.1,38
0.1,0.07,0.36666667,10.0,0.1,39
0.1,0.07,0.45555556,0.1,0.1,40
0.1,0.07,0.45555556,1.2,0.1,41
0.1,0.07,0.45555556,2.3,0.1,42
0.1,0.07,0.45555556,3.4,0.1,43
0.1,0.07,0.45555556,4.5,0.1,44
0.1,0.07,0.45555556,5.6,0.1,45
0.1,0.07,0.45555556,6.7,0.1,46
0.1,0.07,0.45555556,7.8,0.1,47
0.1,0.07,0.45555556,8.9,0.1,48
0.1,0.07,0.45555556,10.0,0.1,49
0.1,0.07,0.54444444,0.1,0.1,50
0.1,0.07,0.54444444,1.2,0.1,51
0.1,0.07,0.54444444,2.3,0.1,52
0.1,0.07,0.54444444,3.4,0.1,53
0.1,0.07,0.54444444,4.5,0.1,54
0.1,0.07,0.54444444,5.6,0.1,55
0.1,0.07,0.54444444,6.7,0.1,56
0.1,0.07,0.54444444,7.8,0.1,57
0.1,0.07,0.54444444,8.9,0.1,58
0.1,0.07,0.54444444,10.0,0.1,59
0.1,0.07,0.63333333,0.1,0.1,60
0.1,0.07,0.63333333,1.2,0.1,61
0.1,0.07,0.63333333,2.3,0.1,62
0.1,0.07,0.63333333,3.4,0.1,63
0.1,0.07,0.63333333,4.5,0.1,64
0.1,0.07,0.63333333,5.6,0.1,65
0.1,0.07,0.63333333,6.7,0.1,66
0.1,0.07,0.63333333,7.8,0.1,67
0.1,0.07,0.63333333,8.9,0.1,68
0.1,0.07,0.72222222,0.1,0.1,70
0.1,0.07,0.72222222,1.2,0.1,71
0.1,0.07,0.72222222,2.3,0.1,72
0.1,0.07,0.72222222,3.4,0.1,73
0.1,0.07,0.72222222,4.5,0.1,74
0.1,0.07,0.72222222,5.6,0.1,75
0.1,0.07,0.72222222,6.7,0.1,76
0.1,0.07,0.72222222,7.8,0.1,77
0.1,0.07,0.72222222,8.9,0.1,78
0.1,0.07,0.72222222,10.0,0.1,79
0.1,0.07,0.81111111,0.1,0.1,80
0.1,0.07,0.81111111,1.2,0.1,81
0.1,0.07,0.81111111,2.3,0.1,82
0.1,0.07,0.81111111,3.4,0.1,83
0.1,0.07,0.81111111,4.5,0.1,84
0.1,0.07,0.81111111,5.6,0.1,85
0.1,0.07,0.81111111,6.7,0.1,86
0.1,0.07,0.81111111,7.8,0.1,87
0.1,0.07,0.81111111,8.9,0.1,88
0.1,0.07,0.81111111,10.0,0.1,89
0.1,0.07,0.9,0.1,0.1,90
0.1,0.07,0.9,1.2,0.1,91
0.1,0.07,0.9,2.3,0.1,92
0.1,0.07,0.9,3.4,0.1,93
0.1,0.07,0.9,4.5,0.1,94
0.1,0.07,0.9,5.6,0.1,95
0.1,0.07,0.9,6.7,0.1,96
0.1,0.07,0.9,7.8,0.1,97
0.1,0.07,0.9,8.9,0.1,98
0.1,0.07,0.9,10.0,0.1,99
0.1,0.84,0.1,0.1,1.2,100
0.1,0.84,0.1,1.2,1.2,101
0.1,0.84,0.1,2.3,1.2,102
0.1,0.84,0.1,3.4,1.2,103
0.1,0.84,0.1,4.5,1.2,104
0.1,0.84,0.1,5.6,1.2,105
0.1,0.84,0.1,6.7,1.2,106
0.1,0.84,0.1,7.8,1.2,107
0.1,0.84,0.1,8.9,1.2,108
0.1,0.84,0.1,10.0,1.2,109
0.1,0.84,0.18888889,0.1,1.2,110
0.1,0.84,0.18888889,1.2,1.2,111
0.1,0.84,0.18888889,2.3,1.2,112
0.1,0.84,0.18888889,3.4,1.2,113
0.1,0.84,0.18888889,4.5,1.2,114
0.1,0.84,0.18888889,5.6,1.2,115
0.1,0.84,0.18888889,6.7,1.2,116
0.1,0.84,0.18888889,7.8,1.2,117
0.1,0.84,0.18888889,8.9,1.2,118
0.1,0.84,0.18888889,10.0,1.2,119
0.1,0.84,0.27777778,0.1,1.2,120
0.1,0.84,0.27777778,1.2,1.2,121
0.1,0.84,0.27777778,2.3,1.2,122
0.1,0.84,0.27777778,3.4,1.2,123
0.1,0.84,0.27777778,4.5,1.2,124
0.1,0.84,0.27777778,5.6,1.2,125
0.1,0.84,0.27777778,6.7,1.2,126
0.1,0.84,0.27777778,7.8,1.2,127
0.1,0.84,0.27777778,8.9,1.2,128
0.1,0.84,0.27777778,10.0,1.2,129
0.1,0.84,0.36666667,0.1,1.2,130
0.1,0.84,0.36666667,1.2,1.2,131
0.1,0.84,0.36666667,2.3,1.2,132
0.1,0.84,0.36666667,3.4,1.2,133
0.1,0.84,0.36666667,4.5,1.2,134
0.1,0.84,0.36666667,5.6,1.2,135
0.1,0.84,0.36666667,6.7,1.2,136
0.1,0.84,0.36666667,7.8,1.2,137
0.1,0.84,0.36666667,8.9,1.2,138
0.1,0.84,0.36666667,10.0,1.2,139
0.1,0.84,0.45555556,0.1,1.2,140
0.1,0.84,0.45555556,1.2,1.2,141
0.1,0.84,0.45555556,2.3,1.2,142
0.1,0.84,0.45555556,3.4,1.2,143
0.1,0.84,0.45555556,4.5,1.2,144
0.1,0.84,0.45555556,5.6,1.2,145
0.1,0.84,0.45555556,6.7,1.2,146
0.1,0.84,0.45555556,7.8,1.2,147
0.1,0.84,0.45555556,8.9,1.2,148
0.1,0.84,0.45555556,10.0,1.2,149
0.1,0.84,0.54444444,0.1,1.2,150
0.1,0.84,0.54444444,1.2,1.2,151
0.1,0.84,0.54444444,2.3,1.2,152
0.1,0.84,0.54444444,3.4,1.2,153
0.1,0.84,0.54444444,4.5,1.2,154
0.1,0.84,0.54444444,5.6,1.2,155
0.1,0.84,0.54444444,6.7,1.2,156
0.1,0.84,0.54444444,7.8,1.2,157
0.1,0.84,0.54444444,8.9,1.2,158
0.1,0.84,0.54444444,10.0,1.2,159
0.1,0.84,0.63333333,0.1,1.2,160
0.1,0.84,0.63333333,1.2,1.2,161
0.1,0.84,0.63333333,2.3,1.2,162
0.1,0.84,0.63333333,3.4,1.2,163
0.1,0.84,0.63333333,4.5,1.2,164
0.1,0.84,0.63333333,5.6,1.2,165
0.1,0.84,0.63333333,6.7,1.2,166
0.1,0.84,0.63333333,7.8,1.2,167
0.1,0.84,0.63333333,8.9,1.2,168
0.1,0.84,0.63333333,10.0,1.2,169
0.1,0.84,0.72222222,0.1,1.2,170
0.1,0.84,0.72222222,1.2,1.2,171
0.1,0.84,0.72222222,2.3,1.2,172
0.1,0.84,0.72222222,3.4,1.2,173
0.1,0.84,0.72222222,4.5,1.2,174
0.1,0.84,0.72222222,5.6,1.2,175
0.1,0.84,0.72222222,6.7,1.2,176
0.1,0.84,0.72222222,7.8,1.2,177
0.1,0.84,0.72222222,8.9,1.2,178
0.1,0.84,0.72222222,10.0,1.2,179
0.1,0.84,0.81111111,0.1,1.2,180
0.1,0.84,0.81111111,1.2,1.2,181
0.1,0.84,0.81111111,2.3,1.2,182
0.1,0.84,0.81111111,3.4,1.2,183
0.1,0.84,0.81111111,4.5,1.2,184
0.1,0.84,0.81111111,5.6,1.2,185
0.1,0.84,0.81111111,6.7,1.2,186
0.1,0.84,0.81111111,7.8,1.2,187
0.1,0.84,0.81111111,8.9,1.2,188
0.1,0.84,0.81111111,10.0,1.2,189
0.1,0.84,0.9,0.1,1.2,190
0.1,0.84,0.9,1.2,1.2,191
0.1,0.84,0.9,2.3,1.2,192
0.1,0.84,0.9,3.4,1.2,193
0.1,0.84,0.9,4.5,1.2,194
0.1,0.84,0.9,5.6,1.2,195
0.1,0.84,0.9,6.7,1.2,196
0.1,0.84,0.9,7.8,1.2,197
0.1,0.84,0.9,8.9,1.2,198
0.1,0.84,0.9,10.0,1.2,199
0.1,1.61,0.1,0.1,2.3,200
0.1,1.61,0.1,1.2,2.3,201
0.1,1.61,0.1,2.3,2.3,202
0.1,1.61,0.1,3.4,2.3,203
0.1,1.61,0.1,4.5,2.3,204
0.1,1.61,0.1,5.6,2.3,205
0.1,1.61,0.1,6.7,2.3,206
0.1,1.61,0.1,7.8,2.3,207
0.1,1.61,0.1,8.9,2.3,208
0.1,1.61,0.1,10.0,2.3,209
0.1,1.61,0.18888889,0.1,2.3,210
0.1,1.61,0.18888889,1.2,2.3,211
0.1,1.61,0.18888889,2.3,2.3,212
0.1,1.61,0.18888889,3.4,2.3,213
0.1,1.61,0.18888889,4.5,2.3,214
0.1,1.61,0.18888889,5.6,2.3,215
0.1,1.61,0.18888889,6.7,2.3,216
0.1,1.61,0.18888889,7.8,2.3,217
0.1,1.61,0.18888889,8.9,2.3,218
0.1,1.61,0.18888889,10.0,2.3,219
0.1,1.61,0.27777778,0.1,2.3,220
0.1,1.61,0.27777778,1.2,2.3,221
0.1,1.61,0.27777778,2.3,2.3,222
0.1,1.61,0.27777778,3.4,2.3,223
0.1,1.61,0.27777778,4.5,2.3,224
0.1,1.61,0.27777778,5.6,2.3,225
0.1,1.61,0.27777778,6.7,2.3,226
0.1,1.61,0.27777778,7.8,2.3,227
0.1,1.61,0.27777778,8.9,2.3,228
0.1,1.61,0.27777778,10.0,2.3,229
0.1,1.61,0.36666667,0.1,2.3,230
0.1,1.61,0.36666667,1.2,2.3,231
0.1,1.61,0.36666667,2.3,2.3,232
0.1,1.61,0.36666667,3.4,2.3,233
0.1,1.61,0.36666667,4.5,2.3,234
0.1,1.61,0.36666667,5.6,2.3,235
0.1,1.61,0.36666667,6.7,2.3,236
0.1,1.61,0.36666667,7.8,2.3,237
0.1,1.61,0.36666667,8.9,2.3,238
0.1,1.61,0.36666667,10.0,2.3,239
0.1,1.61,0.45555556,0.1,2.3,240
0.1,1.61,0.45555556,1.2,2.3,241
0.1,1.61,0.45555556,2.3,2.3,242
0.1,1.61,0.45555556,3.4,2.3,243
0.1,1.61,0.45555556,4.5,2.3,244
0.1,1.61,0.45555556,5.6,2.3,245
0.1,1.61,0.45555556,6.7,2.3,246
0.1,1.61,0.45555556,7.8,2.3,247
0.1,1.61,0.45555556,8.9,2.3,248
0.1,1.61,0.45555556,10.0,2.3,249
0.1,1.61,0.54444444,0.1,2.3,250
0.1,1.61,0.54444444,1.2,2.3,251
0.1,1.61,0.54444444,2.3,2.3,252
0.1,1.61,0.54444444,3.4,2.3,253
0.1,1.61,0.54444444,4.5,2.3,254
0.1,1.61,0.54444444,5.6,2.3,255
0.1,1.61,0.54444444,6.7,2.3,256
0.1,1.61,0.54444444,7.8,2.3,257
0.1,1.61,0.54444444,8.9,2.3,258
0.1,1.61,0.54444444,10.0,2.3,259
0.1,1.61,0.63333333,0.1,2.3,260
0.1,1.61,0.63333333,1.2,2.3,261
0.1,1.61,0.63333333,2.3,2.3,262
