ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx
0.1,0.07,0.1,0.1,0.1,1199.05,0.108011464,0.737374068,29.77130541,0.637491926,0.004444962,0.995555038,0.07771961,0.004072339,6.572545485,0.052397835,0.947602165,0.088387304,0.045607101,0.03943929,0
0.1,0.07,0.1,1.2,0.1,1199.05,0.829106074,0.722678891,29.17811306,0.976745705,0.114380073,0.885619927,0.102704906,0.007210851,6.208432428,0.070209416,0.929790584,0.088290097,0.052173657,0.038782634,1
0.1,0.07,0.1,2.3,0.1,1199.05,0.825779574,0.72304631,29.19297748,0.976759131,0.113684621,0.886315379,0.10273463,0.007298237,6.209393453,0.071039697,0.928960303,0.088018003,0.052535346,0.038746465,2
0.1,0.07,0.1,3.4,0.1,1199.05,0.821291378,0.723538526,29.21285061,0.976757269,0.112656605,0.887343395,0.10276004,0.007399868,6.210663799,0.072011143,0.927988857,0.087659967,0.052804576,0.038719542,3
0.1,0.07,0.1,4.5,0.1,1199.05,0.816533996,0.724062771,29.23391346,0.976763961,0.111568186,0.888431814,0.102785248,0.007506005,6.212012611,0.073026087,0.926973913,0.087280014,0.053050301,0.03869497,4
0.1,0.07,0.1,5.6,0.1,1199.05,0.811665017,0.724594654,29.25548945,0.976744186,0.110449332,0.889550668,0.102809027,0.007612765,6.213395642,0.074047635,0.925952365,0.086891956,0.053287278,0.038671272,5
0.1,0.07,0.1,6.7,0.1,1199.05,0.806745064,0.725135672,29.27731897,0.976737687,0.10931773,0.89068227,0.102833347,0.007721048,6.214795023,0.075083119,0.924916881,0.086500701,0.053520729,0.038647927,6
0.1,0.07,0.1,7.8,0.1,1199.05,0.801805615,0.725680496,29.29926545,0.976735288,0.108192417,0.891807583,0.1028578,0.007830165,6.216206083,0.076126114,0.923873886,0.086107924,0.053752439,0.038624756,7
0.1,0.07,0.1,8.9,0.1,1199.05,0.796853441,0.726227311,29.32130004,0.976731719,0.107069657,0.892930343,0.102882169,0.007939706,6.217625632,0.077172814,0.922827186,0.085714666,0.053983516,0.038601648,8
0.1,0.07,0.1,10,0.1,1199.05,0.791900047,0.72677389,29.34337232,0.976722243,0.105956902,0.894043098,0.102906223,0.008049355,6.219052199,0.078220295,0.921779705,0.085321548,0.054214618,0.038578538,9
