ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx
0.1,0.07,0.1,0.1,0.1,1199.05,1.055196944,0.525133401,106.0044899,0.465727329,0.16738415,0.83261585,0.107432229,0.008239686,6.146790955,0.076696597,0.923303403,0.087706954,0.051353706,0.038864629,0
0.1,0.07,0.1,1.2,0.1,1199.05,1.647595477,0.566465044,114.3510664,0.708893238,0.392100858,0.607899142,0.117391306,0.01057761,6.019771733,0.090105562,0.909894438,0.089372472,0.055956663,0.038404334,1
0.1,0.07,0.1,2.3,0.1,1199.05,1.645569979,0.566993224,114.4580237,0.709876231,0.391254688,0.608745312,0.117484157,0.010695429,6.020187858,0.091037198,0.908962802,0.088990158,0.056216999,0.0383783,2
0.1,0.07,0.1,3.4,0.1,1199.05,1.640971109,0.567521801,114.5636037,0.710169803,0.389300436,0.610699564,0.117541537,0.010808379,6.021114027,0.091953695,0.908046305,0.088576371,0.056435848,0.038356415,3
0.1,0.07,0.1,4.5,0.1,1199.05,1.635731517,0.568021189,114.6691793,0.710204532,0.387073294,0.612926706,0.117588502,0.010918689,6.022169779,0.092855071,0.907144929,0.088155369,0.056644991,0.038335501,4
0.1,0.07,0.1,5.6,0.1,1199.05,1.630237373,0.568556686,114.7748543,0.710272765,0.384740109,0.615259891,0.1176341,0.011030533,6.023273879,0.093769856,0.906230144,0.087732715,0.056851489,0.038314851,5
0.1,0.07,0.1,6.7,0.1,1199.05,1.624619031,0.569088412,114.8806126,0.710293848,0.382357404,0.617642596,0.117677727,0.011141932,6.024403423,0.094681742,0.905318258,0.08731056,0.057057987,0.038294201,6
0.1,0.07,0.1,7.8,0.1,1199.05,1.618931584,0.569624622,114.9864538,0.710306436,0.379949233,0.620050767,0.117720608,0.01125343,6.025547029,0.095594388,0.904405612,0.086889654,0.057265468,0.038273453,7
0.1,0.07,0.1,8.9,0.1,1199.05,1.61319946,0.570140367,115.0924309,0.710244545,0.377526147,0.622473853,0.117761646,0.011363746,6.026701675,0.096497855,0.903502145,0.086470124,0.05747413,0.038252587,8
0.1,0.07,0.1,10,0.1,1199.05,1.607437989,0.570655165,115.1985464,0.710168962,0.375094847,0.624905153,0.11780219,0.011473968,6.027862967,0.097400291,0.902599709,0.086052198,0.057684275,0.038231573,9
0.1,0.07,0.18888889,0.1,0.1,1199.05,0.935101843,0.289645803,58.4603672,0.161687517,0.132537973,0.867462027,0.105156927,0.007775642,6.17697858,0.073943219,0.926056781,0.087531822,0.050673264,0.038932674,10
0.1,0.07,0.18888889,1.2,0.1,1199.05,1.726533009,0.391298615,78.9876472,0.359165824,0.425526842,0.574473158,0.118734334,0.010950821,6.003608126,0.09222961,0.90777039,0.089531205,0.056318972,0.038368103,11
0.1,0.07,0.18888889,2.3,0.1,1199.05,1.725785331,0.392062545,79.14744296,0.360220382,0.425209356,0.574790644,0.118848652,0.011074456,6.003763408,0.093181169,0.906818831,0.08915085,0.056585289,0.038341471,12
0.1,0.07,0.18888889,3.4,0.1,1199.05,1.72166957,0.392667777,79.2513796,0.360591091,0.423416406,0.576583594,0.118916466,0.011191596,6.004585501,0.094113087,0.905886913,0.088734507,0.056803071,0.038319693,13
0.1,0.07,0.18888889,4.5,0.1,1199.05,1.716731127,0.39302702,79.34214541,0.360478931,0.421265538,0.578734462,0.11896842,0.011303018,6.005576634,0.095008555,0.904991445,0.088309839,0.057009468,0.038299053,14
0.1,0.07,0.18888889,5.6,0.1,1199.05,1.711462857,0.393544713,79.42782669,0.36056174,0.418972813,0.581027187,0.119020001,0.011417674,6.006627887,0.09593071,0.90406929,0.087882747,0.057212223,0.038278778,15
0.1,0.07,0.18888889,6.7,0.1,1199.05,1.706033241,0.393863322,79.51097324,0.360319927,0.416612661,0.583387339,0.119065013,0.011528016,6.007716712,0.096821188,0.903178812,0.087455884,0.057414608,0.038258539,16
0.1,0.07,0.18888889,7.8,0.1,1199.05,1.70050549,0.394301869,79.59278143,0.360244959,0.414212665,0.585787335,0.119111671,0.01164095,6.008821322,0.097731398,0.902268602,0.087029475,0.057617083,0.038238292,17
0.1,0.07,0.18888889,8.9,0.1,1199.05,1.69492206,0.394729964,79.67369784,0.360145112,0.411791741,0.588208259,0.119157369,0.011753606,6.00993728,0.09863935,0.90136065,0.086604755,0.057821038,0.038217896,18
0.1,0.07,0.18888889,10,0.1,1199.05,1.68929255,0.395067912,79.75414892,0.359901257,0.409353991,0.590646009,0.119200565,0.011864464,6.011064983,0.099533619,0.900466381,0.08618104,0.05802584,0.038197416,19
0.1,0.07,0.27777778,0.1,0.1,1199.05,0.824371913,0.186196042,37.58694147,0.085535068,0.104138094,0.895861906,0.102940341,0.007354191,6.206897512,0.071441295,0.928558705,0.087395091,0.050054682,0.038994532,20
0.1,0.07,0.27777778,1.2,0.1,1199.05,1.737467315,0.282093719,56.92211438,0.220422385,0.430200061,0.569799939,0.118924354,0.011005928,6.001359572,0.092545616,0.907454384,0.089544191,0.056348779,0.038365122,21
0.1,0.07,0.27777778,2.3,0.1,1199.05,1.737111566,0.282669268,57.05915346,0.221020148,0.430051593,0.569948407,0.119043757,0.011129966,6.001436822,0.093494749,0.906505251,0.089167578,0.0566201,0.03833799,22
0.1,0.07,0.27777778,3.4,0.1,1199.05,1.733108423,0.28309344,57.14052314,0.221158891,0.428302164,0.571697836,0.119111694,0.011245997,6.002238379,0.094415556,0.905584444,0.088751363,0.056838336,0.038316166,23
