ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2
0.1,0.07,0.1,0.1,0,0.737374068
0.1,0.07,0.1,0.5,1,0.723128813
0.1,0.07,0.1,1,2,0.722664831
0.1,0.07,0.1,4,3,0.72382302
0.1,0.07,0.1,6,4,0.724792317
0.1,0.07,0.1,8,5,0.725777976
0.1,0.07,0.1,10,6,0.72677389
0.1,0.07,0.3,0.1,7,0.219444826
0.1,0.07,0.3,0.5,8,0.625335545
0.1,0.07,0.3,1,9,0.617268199
0.1,0.07,0.3,4,10,0.617295857
0.1,0.07,0.3,6,11,0.618179011
0.1,0.07,0.3,8,12,0.619115959
0.1,0.07,0.3,10,13,0.620040766
0.1,0.07,0.5,0.1,14,0.09642554
0.1,0.07,0.5,0.5,15,0.371910673
0.1,0.07,0.5,1,16,0.498899841
0.1,0.07,0.5,4,17,0.520352283
0.1,0.07,0.5,6,18,0.52116887
0.1,0.07,0.5,8,19,0.522003053
0.1,0.07,0.5,10,20,0.522759324
0.1,0.07,0.7,0.1,21,0.042249874
0.1,0.07,0.7,0.5,22,0.185687054
0.1,0.07,0.7,1,23,0.302312697
0.1,0.07,0.7,4,24,0.418977892
0.1,0.07,0.7,6,25,0.419634171
0.1,0.07,0.7,8,26,0.42035082
0.1,0.07,0.7,10,27,0.420964567
0.1,0.07,0.9,0.1,28,0.011224597
0.1,0.07,0.9,0.5,29,0.053942486
0.1,0.07,0.9,1,30,0.1025251
0.1,0.07,0.9,4,31,0.277881995
0.1,0.07,0.9,6,32,0.327964974
0.1,0.07,0.9,8,33,0.341756555
0.1,0.07,0.9,10,34,0.342575304
0.1,0.1,0.1,0.1,35,0.771484303
0.1,0.1,0.1,0.5,36,0.753916555
0.1,0.1,0.1,1,37,0.753448739
0.1,0.1,0.1,4,38,0.754419262
0.1,0.1,0.1,6,39,0.755274071
0.1,0.1,0.1,8,40,0.756145246
0.1,0.1,0.1,10,41,0.757023213
0.1,0.1,0.3,0.1,42,0.227882848
0.1,0.1,0.3,0.5,43,0.70508427
0.1,0.1,0.3,1,44,0.662438191
0.1,0.1,0.3,4,45,0.659868551
0.1,0.1,0.3,6,46,0.660810226
0.1,0.1,0.3,8,47,0.661795251
0.1,0.1,0.3,10,48,0.662802571
0.1,0.1,0.5,0.1,49,0.099098566
0.1,0.1,0.5,0.5,50,0.427976391
0.1,0.1,0.5,1,51,0.604529324
0.1,0.1,0.5,4,52,0.607890813
0.1,0.1,0.5,6,53,0.608729503
0.1,0.1,0.5,8,54,0.609588015
0.1,0.1,0.5,10,55,0.610487743
0.1,0.1,0.7,0.1,56,0.043063102
0.1,0.1,0.7,0.5,57,0.200840978
0.1,0.1,0.7,1,58,0.355737472
0.1,0.1,0.7,4,59,0.547968402
0.1,0.1,0.7,6,60,0.54877093
0.1,0.1,0.7,8,61,0.54960625
0.1,0.1,0.7,10,62,0.550414275
0.1,0.1,0.9,0.1,63,0.01136845
0.1,0.1,0.9,0.5,64,0.055312088
0.1,0.1,0.9,1,65,0.107689741
0.1,0.1,0.9,4,66,0.339741405
0.1,0.1,0.9,6,67,0.418519408
0.1,0.1,0.9,8,68,0.460773092
0.1,0.1,0.9,10,69,0.478916499
0.1,1,0.1,0.1,70,0.814280363
0.1,1,0.1,0.5,71,0.828098504
0.1,1,0.1,1,72,0.828105358
0.1,1,0.1,4,73,0.828168161
0.1,1,0.1,6,74,0.828208478
0.1,1,0.1,8,75,0.828247416
0.1,1,0.1,10,76,0.828285031
0.1,1,0.3,0.1,77,0.294274002
0.1,1,0.3,0.5,78,0.823375324
0.1,1,0.3,1,79,0.822647774
0.1,1,0.3,4,80,0.816569605
0.1,1,0.3,6,81,0.816810851
0.1,1,0.3,8,82,0.817056441
0.1,1,0.3,10,83,0.817311004
0.1,1,0.5,0.1,84,0.131154702
0.1,1,0.5,0.5,85,0.565245041
0.1,1,0.5,1,86,0.816787192
0.1,1,0.5,4,87,0.799068244
0.1,1,0.5,6,88,0.79949237
0.1,1,0.5,8,89,0.799964969
0.1,1,0.5,10,90,0.800451794
0.1,1,0.7,0.1,91,0.059058132
0.1,1,0.7,0.5,92,0.258309767
0.1,1,0.7,1,93,0.487393004
0.1,1,0.7,4,94,0.811487241
0.1,1,0.7,6,95,0.79442962
