ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2,v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*500,NADPH,2NADPH,3_v_ATP_made,CO2
0.1,0.07,0.1,0.1,0,0.525133401,39.11340243,2.6256670050000004,1.3128335025000002,0.6564167512500001,13.03780081,0.6564167512500001
0.1,0.07,0.1,0.5,1,0.566033842,59.71828946,2.83016921,1.415084605,0.7075423025,19.906096486666662,0.7075423025
0.1,0.07,0.1,1.0,2,0.566361369,60.19053747,2.831806845,1.4159034225,0.70795171125,20.06351249,0.70795171125
0.1,0.07,0.1,4.0,3,0.567791319,60.6953562,2.8389565950000004,1.4194782975000002,0.7097391487500001,20.2317854,0.7097391487500001
0.1,0.07,0.1,6.0,4,0.568750004,60.89635349,2.8437500200000003,1.4218750100000002,0.7109375050000001,20.298784496666663,0.7109375050000001
0.1,0.07,0.1,8.0,5,0.569711658,61.08572298,2.84855829,1.424279145,0.7121395725,20.36190766,0.7121395725
0.1,0.07,0.1,10.0,6,0.570655165,61.26777321,2.8532758250000003,1.4266379125000002,0.7133189562500001,20.42259107,0.7133189562500001
0.1,0.07,0.3,0.1,7,0.16928866,30.71289051,2.5393299000000003,1.26966495,0.634832475,10.23763017,0.634832475
0.1,0.07,0.3,0.5,8,0.261217626,63.17902264,3.91826439,1.959132195,0.9795660975,21.059674213333334,0.9795660975
0.1,0.07,0.3,1.0,9,0.262841073,63.98295937,3.942616094999999,1.9713080474999995,0.9856540237499998,21.327653123333334,0.9856540237499998
0.1,0.07,0.3,4.0,10,0.264227555,64.64998813,3.9634133250000008,1.9817066625000004,0.9908533312500002,21.549996043333337,0.9908533312500002
0.1,0.07,0.3,6.0,11,0.264766828,64.88261497,3.97150242,1.98575121,0.992875605,21.627538323333336,0.992875605
0.1,0.07,0.3,8.0,12,0.265293946,65.09880755,3.9794091900000006,1.9897045950000003,0.9948522975,21.69960251666667,0.9948522975
0.1,0.07,0.3,10.0,13,0.265738077,65.30610595,3.9860711550000008,1.9930355775000004,0.9965177887500002,21.768701983333333,0.9965177887500002
0.1,0.07,0.5,0.1,14,0.080449216,22.32469256,2.0112304,1.0056152,0.5028076,7.441564186666667,0.5028076
0.1,0.07,0.5,0.5,15,0.160917119,62.97526319,4.022927975,2.0114639875,1.00573199375,20.991754396666668,1.00573199375
0.1,0.07,0.5,1.0,16,0.162486074,64.13538919,4.06215185,2.031075925,1.0155379625,21.37846306333333,1.0155379625
0.1,0.07,0.5,4.0,17,0.163514757,64.86095751,4.087868925,2.0439344625,1.02196723125,21.62031917,1.02196723125
0.1,0.07,0.5,6.0,18,0.163821589,65.09572124,4.095539725,2.0477698625,1.02388493125,21.698573746666668,1.02388493125
0.1,0.07,0.5,8.0,19,0.164203321,65.31509004,4.105083025,2.0525415125,1.02627075625,21.77169668,1.02627075625
0.1,0.07,0.5,10.0,20,0.164510405,65.52642841,4.112760125,2.0563800625,1.02819003125,21.84214280333333,1.02819003125
0.1,0.07,0.7,0.1,21,0.037912168,13.51341126,1.3269258800000003,0.6634629400000002,0.3317314700000001,4.50447042,0.3317314700000001
