ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2,v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*100
0.1,0.07,0.1,0.1,0,0.737374068,8.420526208,0.737374068
0.1,0.07,0.1,0.5,1,0.723128813,31.14033791,0.7231288130000001
0.1,0.07,0.1,1.0,2,0.722664831,31.23957731,0.722664831
0.1,0.07,0.1,4.0,3,0.72382302,31.35589734,0.72382302
0.1,0.07,0.1,6.0,4,0.724792317,31.42326403,0.7247923170000001
0.1,0.07,0.1,8.0,5,0.725777976,31.49003969,0.7257779760000002
0.1,0.07,0.1,10.0,6,0.72677389,31.55778569,0.72677389
0.1,0.07,0.3,0.1,7,0.219444826,6.3350512,0.658334478
0.1,0.07,0.3,0.5,8,0.625335545,34.89898529,1.876006635
0.1,0.07,0.3,1.0,9,0.617268199,56.95666501,1.851804597
0.1,0.07,0.3,4.0,10,0.617295857,57.99882191,1.851887571
0.1,0.07,0.3,6.0,11,0.618179011,58.19086884,1.8545370329999997
0.1,0.07,0.3,8.0,12,0.619115959,58.37661409,1.8573478770000003
0.1,0.07,0.3,10.0,13,0.620040766,58.55108365,1.8601222980000003
0.1,0.07,0.5,0.1,14,0.09642554,4.517070013,0.48212770000000005
0.1,0.07,0.5,0.5,15,0.371910673,23.60233387,1.8595533650000002
0.1,0.07,0.5,1.0,16,0.498899841,49.11819892,2.4944992050000003
0.1,0.07,0.5,4.0,17,0.520352283,64.7583735,2.6017614150000004
0.1,0.07,0.5,6.0,18,0.52116887,65.00994718,2.60584435
0.1,0.07,0.5,8.0,19,0.522003053,65.23732944,2.6100152650000004
0.1,0.07,0.5,10.0,20,0.522759324,65.44464392,2.61379662
0.1,0.07,0.7,0.1,21,0.042249874,2.707228497,0.29574911800000003
0.1,0.07,0.7,0.5,22,0.185687054,13.87752597,1.2998093779999997
0.1,0.07,0.7,1.0,23,0.302312697,28.54718531,2.116188879
0.1,0.07,0.7,4.0,24,0.418977892,66.14371678,2.932845244
0.1,0.07,0.7,6.0,25,0.419634171,66.44747761,2.937439197
0.1,0.07,0.7,8.0,26,0.42035082,66.69328662,2.94245574
0.1,0.07,0.7,10.0,27,0.420964567,66.91599605,2.946751969
0.1,0.07,0.9,0.1,28,0.011224597,0.902450895,0.101021373
0.1,0.07,0.9,0.5,29,0.053942486,4.543155672,0.485482374
0.1,0.07,0.9,1.0,30,0.1025251,9.180824661,0.9227259
0.1,0.07,0.9,4.0,31,0.277881995,38.57619823,2.5009379550000004
0.1,0.07,0.9,6.0,32,0.327964974,58.4179557,2.951684766
0.1,0.07,0.9,8.0,33,0.341756555,66.48891044,3.075808995
0.1,0.07,0.9,10.0,34,0.342575304,66.89026305,3.083177736
0.1,0.1,0.1,0.1,35,0.771484303,5.866410446,0.7714843030000001
0.1,0.1,0.1,0.5,36,0.753916555,23.70452495,0.7539165550000001
0.1,0.1,0.1,1.0,37,0.753448739,23.74624707,0.7534487390000001
0.1,0.1,0.1,4.0,38,0.754419262,23.80769414,0.7544192620000001
0.1,0.1,0.1,6.0,39,0.755274071,23.84850963,0.755274071
0.1,0.1,0.1,8.0,40,0.756145246,23.88919284,0.7561452460000001
0.1,0.1,0.1,10.0,41,0.757023213,23.93030431,0.757023213
0.1,0.1,0.3,0.1,42,0.227882848,4.414412889,0.683648544
0.1,0.1,0.3,0.5,43,0.70508427,24.3723333,2.11525281
0.1,0.1,0.3,1.0,44,0.662438191,48.66050084,1.987314573
0.1,0.1,0.3,4.0,45,0.659868551,50.10448306,1.979605653
0.1,0.1,0.3,6.0,46,0.660810226,50.25533128,1.9824306779999998
0.1,0.1,0.3,8.0,47,0.661795251,50.39884334,1.985385753
0.1,0.1,0.3,10.0,48,0.662802571,50.54261993,1.9884077129999997
0.1,0.1,0.5,0.1,49,0.099098566,3.15224417,0.49549283000000005
0.1,0.1,0.5,0.5,50,0.427976391,16.16450766,2.1398819550000003
0.1,0.1,0.5,1.0,51,0.604529324,34.27592478,3.02264662
0.1,0.1,0.5,4.0,52,0.607890813,61.11699329,3.039454065
0.1,0.1,0.5,6.0,53,0.608729503,61.35546618,3.043647515
0.1,0.1,0.5,8.0,54,0.609588015,61.54965545,3.0479400750000005
0.1,0.1,0.5,10.0,55,0.610487743,61.74329927,3.052438715
0.1,0.1,0.7,0.1,56,0.043063102,1.891866321,0.30144171399999997
0.1,0.1,0.7,0.5,57,0.200840978,9.571141171,1.4058868459999998
0.1,0.1,0.7,1.0,58,0.355737472,19.49767448,2.490162304
0.1,0.1,0.7,4.0,59,0.547968402,64.87025456,3.8357788139999993
0.1,0.1,0.7,6.0,60,0.54877093,65.30309704,3.84139651
0.1,0.1,0.7,8.0,61,0.54960625,65.55549759,3.8472437499999996
0.1,0.1,0.7,10.0,62,0.550414275,65.77479985,3.852899925
0.1,0.1,0.9,0.1,63,0.01136845,0.631959377,0.10231605000000002
0.1,0.1,0.9,0.5,64,0.055312088,3.164780933,0.49780879200000006
0.1,0.1,0.9,1.0,65,0.107689741,6.359879971,0.9692076690000002
0.1,0.1,0.9,4.0,66,0.339741405,26.29147232,3.0576726450000002
0.1,0.1,0.9,6.0,67,0.418519408,40.23758707,3.7666746720000006
0.1,0.1,0.9,8.0,68,0.460773092,54.51486107,4.146957828000001
0.1,0.1,0.9,10.0,69,0.478916499,65.84573173,4.310248491
0.1,1.0,0.1,0.1,70,0.814280363,0.591555979,0.8142803630000001
0.1,1.0,0.1,0.5,71,0.828098504,2.726133644,0.828098504
0.1,1.0,0.1,1.0,72,0.828105358,2.726318946,0.8281053580000001
0.1,1.0,0.1,4.0,73,0.828168161,2.727199401,0.8281681610000001
0.1,1.0,0.1,6.0,74,0.828208478,2.727781131,0.8282084780000001
0.1,1.0,0.1,8.0,75,0.828247416,2.728341807,0.8282474160000001
0.1,1.0,0.1,10.0,76,0.828285031,2.728865237,0.8282850310000001
0.1,1.0,0.3,0.1,77,0.294274002,0.442960878,0.8828220059999999
0.1,1.0,0.3,0.5,78,0.823375324,2.426523161,2.470125972
0.1,1.0,0.3,1.0,79,0.822647774,5.370409083,2.467943322
0.1,1.0,0.3,4.0,80,0.816569605,8.059281162,2.4497088149999997
0.1,1.0,0.3,6.0,81,0.816810851,8.063396109,2.4504325529999997
0.1,1.0,0.3,8.0,82,0.817056441,8.067538178,2.451169323
0.1,1.0,0.3,10.0,83,0.817311004,8.071853223,2.451933012
0.1,1.0,0.5,0.1,84,0.131154702,0.317001153,0.6557735100000001
0.1,1.0,0.5,0.5,85,0.565245041,1.579641086,2.826225205
0.1,1.0,0.5,1.0,86,0.816787192,3.352751107,4.083935960000001
0.1,1.0,0.5,4.0,87,0.799068244,13.04338874,3.9953412200000002
0.1,1.0,0.5,6.0,88,0.79949237,13.05552461,3.9974618500000005
0.1,1.0,0.5,8.0,89,0.799964969,13.06743035,3.9998248450000005
0.1,1.0,0.5,10.0,90,0.800451794,13.07931981,4.00225897
0.1,1.0,0.7,0.1,91,0.059058132,0.191075579,0.41340692399999995
0.1,1.0,0.7,0.5,92,0.258309767,0.946993887,1.8081683689999999
0.1,1.0,0.7,1.0,93,0.487393004,1.901794369,3.4117510280000007
0.1,1.0,0.7,4.0,94,0.811487241,8.898403808,5.680410686999999
0.1,1.0,0.7,6.0,95,0.79442962,13.98015193,5.56100734
0.1,1.0,0.7,8.0,96,0.78089546,17.63244437,5.466268219999999
