ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2_initial,Phi2,Phi2*PSII_antenna_size*100
0.1,0.07,0.1,0.1,0,0.525843149,0.525843149,0.525843149
0.1,0.07,0.1,0.5,1,0.741827,0.741827,0.7418270000000001
0.1,0.07,0.1,1.0,2,0.726447144,0.726447144,0.7264471440000001
0.1,0.07,0.1,4.0,3,0.726554192,0.726554192,0.726554192
0.1,0.07,0.1,6.0,4,0.727389702,0.727389702,0.7273897020000001
0.1,0.07,0.1,8.0,5,0.728300148,0.728300148,0.728300148
0.1,0.07,0.1,10.0,6,0.729240995,0.729240995,0.729240995
0.1,0.07,0.3,0.1,7,0.179136809,0.179136809,0.537410427
0.1,0.07,0.3,0.5,8,0.691808106,0.691808106,2.075424318
0.1,0.07,0.3,1.0,9,0.662238606,0.662238606,1.9867158179999997
0.1,0.07,0.3,4.0,10,0.644930094,0.644930094,1.9347902819999998
0.1,0.07,0.3,6.0,11,0.64573828,0.64573828,1.93721484
0.1,0.07,0.3,8.0,12,0.64661482,0.64661482,1.9398444600000002
0.1,0.07,0.3,10.0,13,0.647517135,0.647517135,1.942551405
0.1,0.07,0.5,0.1,14,0.107722847,0.107722847,0.538614235
0.1,0.07,0.5,0.5,15,0.470515764,0.470515764,2.35257882
0.1,0.07,0.5,1.0,16,0.624843373,0.624843373,3.124216865
0.1,0.07,0.5,4.0,17,0.610109949,0.610109949,3.050549745
0.1,0.07,0.5,6.0,18,0.611685233,0.0,0.0
0.1,0.07,0.5,8.0,19,0.612545324,0.611685233,3.058426165
0.1,0.07,0.5,10.0,20,0.077011357,0.612545324,3.06272662
0.1,0.07,0.7,0.1,21,0.342001296,0.077011357,0.5390794990000001
0.1,0.07,0.7,0.5,22,0.517793384,0.342001296,2.3940090720000002
0.1,0.07,0.7,1.0,23,0.559463825,0.517793384,3.6245536879999998
0.1,0.07,0.7,4.0,24,0.560260132,0.559463825,3.9162467750000007
