ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2_initial,Phi2,Phi2*PSII_antenna_size*100
0.1,0.07,0.1,0.1,0,0.525843149,0.525843149,5.2584314899999995
0.1,0.07,0.1,0.5,1,0.741827,0.741827,7.418270000000001
0.1,0.07,0.1,1.0,2,0.726447144,0.726447144,7.26447144
0.1,0.07,0.1,4.0,3,0.726554192,0.726554192,7.26554192
0.1,0.07,0.1,6.0,4,0.727389702,0.727389702,7.273897020000001
0.1,0.07,0.1,8.0,5,0.728300148,0.728300148,7.283001479999999
0.1,0.07,0.1,10.0,6,0.729240995,0.729240995,7.292409949999999
0.1,0.07,0.3,0.1,7,0.179136809,0.179136809,5.37410427
0.1,0.07,0.3,0.5,8,0.691808106,0.691808106,20.75424318
0.1,0.07,0.3,1.0,9,0.662238606,0.662238606,19.867158179999997
0.1,0.07,0.3,4.0,10,0.644930094,0.644930094,19.347902819999998
0.1,0.07,0.3,6.0,11,0.64573828,0.64573828,19.3721484
0.1,0.07,0.3,8.0,12,0.64661482,0.64661482,19.3984446
0.1,0.07,0.3,10.0,13,0.647517135,0.647517135,19.425514049999997
0.1,0.07,0.5,0.1,14,0.107722847,0.107722847,5.38614235
0.1,0.07,0.5,0.5,15,0.470515764,0.470515764,23.5257882
0.1,0.07,0.5,1.0,16,0.624843373,0.624843373,31.242168650000004
0.1,0.07,0.5,4.0,17,0.610109949,0.610109949,30.505497450000004
0.1,0.07,0.5,6.0,18,0.611685233,0.0,0.0
0.1,0.07,0.5,8.0,19,0.612545324,0.611685233,30.58426165
0.1,0.07,0.5,10.0,20,0.077011357,0.612545324,30.627266199999998
0.1,0.07,0.7,0.1,21,0.342001296,0.077011357,5.39079499
0.1,0.07,0.7,0.5,22,0.517793384,0.342001296,23.940090719999997
0.1,0.07,0.7,1.0,23,0.559463825,0.517793384,36.245536879999996
0.1,0.07,0.7,4.0,24,0.560260132,0.559463825,39.162467750000005
0.1,0.07,0.7,6.0,25,0.561094782,0.560260132,39.21820924
0.1,0.07,0.7,8.0,26,0.561971624,0.561094782,39.27663473999999
0.1,0.07,0.7,10.0,27,0.059926609,0.561971624,39.33801368
0.1,0.07,0.9,0.1,28,0.267738039,0.059926609,5.393394809999999
0.1,0.07,0.9,0.5,29,0.420422244,0.267738039,24.096423509999997
0.1,0.07,0.9,1.0,30,0.492332211,0.420422244,37.83800196
0.1,0.07,0.9,4.0,31,0.493166048,0.492332211,44.30989899
0.1,0.07,0.9,6.0,32,0.493995876,0.493166048,44.38494432
0.1,0.07,0.9,8.0,33,0.494823424,0.493995876,44.45962884
0.1,0.07,0.9,10.0,34,0.532622828,0.494823424,44.53410816
0.1,0.1,0.1,0.1,35,0.773141071,0.532622828,5.3262282800000005
0.1,0.1,0.1,0.5,36,0.755130555,0.773141071,7.7314107100000005
0.1,0.1,0.1,1.0,37,0.755301076,0.755130555,7.551305550000001
0.1,0.1,0.1,4.0,38,0.756091235,0.755301076,7.553010760000001
0.1,0.1,0.1,6.0,39,0.756938817,0.756091235,7.56091235
0.1,0.1,0.1,8.0,40,0.75781199,0.756938817,7.569388170000001
0.1,0.1,0.1,10.0,41,0.181734869,0.75781199,7.578119900000001
