ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2
0.1,0.07,0.1,0.1,0,0.473304821
0.1,0.07,0.1,0.5,1,0.63274756
0.1,0.07,0.1,1,2,0.63164233
0.1,0.07,0.1,4,3,0.63252597
0.1,0.07,0.1,6,4,0.633452032
0.1,0.07,0.1,8,5,0.634400844
0.1,0.07,0.1,10,6,0.635363158
0.1,0.07,0.3,0.1,7,0.161606718
0.1,0.07,0.3,0.5,8,0.3916709
0.1,0.07,0.3,1,9,0.397139559
0.1,0.07,0.3,4,10,0.400282168
0.1,0.07,0.3,6,11,0.401331724
0.1,0.07,0.3,8,12,0.402377131
0.1,0.07,0.3,10,13,0.403335843
0.1,0.07,0.5,0.1,14,0.097231173
0.1,0.07,0.5,0.5,15,0.242121765
0.1,0.07,0.5,1,16,0.246409471
0.1,0.07,0.5,4,17,0.248743984
0.1,0.07,0.5,6,18,0.249567676
0.1,0.07,0.5,8,19,0.250204484
0.1,0.07,0.5,10,20,0.250952947
0.1,0.07,0.7,0.1,21,0.069526376
0.1,0.07,0.7,0.5,22,0.171807106
0.1,0.07,0.7,1,23,0.174847983
0.1,0.07,0.7,4,24,0.176557416
0.1,0.07,0.7,6,25,0.17713653
0.1,0.07,0.7,8,26,0.177706268
0.1,0.07,0.7,10,27,0.178210581
0.1,0.07,0.9,0.1,28,0.054104542
0.1,0.07,0.9,0.5,29,0.132765298
0.1,0.07,0.9,1,30,0.13490877
0.1,0.07,0.9,4,31,0.136275961
0.1,0.07,0.9,6,32,0.136786428
0.1,0.07,0.9,8,33,0.137178428
0.1,0.07,0.9,10,34,0.137628128
0.1,0.1,0.1,0.1,35,0.492023876
0.1,0.1,0.1,0.5,36,0.653089118
0.1,0.1,0.1,1,37,0.65156524
0.1,0.1,0.1,4,38,0.652310851
0.1,0.1,0.1,6,39,0.653213023
0.1,0.1,0.1,8,40,0.65414258
0.1,0.1,0.1,10,41,0.655073998
0.1,0.1,0.3,0.1,42,0.167559637
0.1,0.1,0.3,0.5,43,0.507537513
0.1,0.1,0.3,1,44,0.516565577
0.1,0.1,0.3,4,45,0.519522818
0.1,0.1,0.3,6,46,0.520678825
0.1,0.1,0.3,8,47,0.521783894
0.1,0.1,0.3,10,48,0.522882398
0.1,0.1,0.5,0.1,49,0.10077274
0.1,0.1,0.5,0.5,50,0.333005024
0.1,0.1,0.5,1,51,0.346207526
0.1,0.1,0.5,4,52,0.349618527
0.1,0.1,0.5,6,53,0.350630734
0.1,0.1,0.5,8,54,0.351577328
0.1,0.1,0.5,10,55,0.352424497
0.1,0.1,0.7,0.1,56,0.072046666
0.1,0.1,0.7,0.5,57,0.24056633
0.1,0.1,0.7,1,58,0.251007957
0.1,0.1,0.7,4,59,0.253772481
0.1,0.1,0.7,6,60,0.25453352
0.1,0.1,0.7,8,61,0.255261715
0.1,0.1,0.7,10,62,0.255928995
0.1,0.1,0.9,0.1,63,0.056066024
0.1,0.1,0.9,0.5,64,0.186750968
0.1,0.1,0.9,1,65,0.194500822
0.1,0.1,0.9,4,66,0.196750764
0.1,0.1,0.9,6,67,0.19738002
0.1,0.1,0.9,8,68,0.197975793
0.1,0.1,0.9,10,69,0.198546772
0.1,1,0.1,0.1,70,0.545036976
0.1,1,0.1,0.5,71,0.810555177
0.1,1,0.1,1,72,0.800971651
0.1,1,0.1,4,73,0.801388177
0.1,1,0.1,6,74,0.801858672
0.1,1,0.1,8,75,0.80236425
0.1,1,0.1,10,76,0.802868274
0.1,1,0.3,0.1,77,0.186831327
0.1,1,0.3,0.5,78,0.77597991
0.1,1,0.3,1,79,0.774732549
0.1,1,0.3,4,80,0.733059393
0.1,1,0.3,6,81,0.733851786
0.1,1,0.3,8,82,0.734741575
0.1,1,0.3,10,83,0.735485658
0.1,1,0.5,0.1,84,0.112419563
0.1,1,0.5,0.5,85,0.519473755
0.1,1,0.5,1,86,0.767882611
0.1,1,0.5,4,87,0.695504663
0.1,1,0.5,6,88,0.696295495
0.1,1,0.5,8,89,0.6972456
0.1,1,0.5,10,90,0.698244866
0.1,1,0.7,0.1,91,0.080385367
0.1,1,0.7,0.5,92,0.375400334
0.1,1,0.7,1,93,0.683930821
0.1,1,0.7,4,94,0.67289212
0.1,1,0.7,6,95,0.673633285
0.1,1,0.7,8,96,0.674537044
0.1,1,0.7,10,97,0.675519344
0.1,1,0.9,0.1,98,0.062557315
0.1,1,0.9,0.5,99,0.293226845
0.1,1,0.9,1,100,0.55486693
0.1,1,0.9,4,101,0.657763398
0.1,1,0.9,6,102,0.658414753
0.1,1,0.9,8,103,0.659353934
0.1,1,0.9,10,104,0.660335498
0.1,3,0.1,0.1,105,0.566269689
0.1,3,0.1,0.5,106,0.826947842
0.1,3,0.1,1,107,0.825315676
0.1,3,0.1,4,108,0.825465791
0.1,3,0.1,6,109,0.825568188
0.1,3,0.1,8,110,0.825667361
0.1,3,0.1,10,111,0.825763495
0.1,3,0.3,0.1,112,0.196461916
0.1,3,0.3,0.5,113,0.794139302
0.1,3,0.3,1,114,0.819616401
0.1,3,0.3,4,115,0.801399604
0.1,3,0.3,6,116,0.801846477
0.1,3,0.3,8,117,0.802311897
0.1,3,0.3,10,118,0.802798943
0.1,3,0.5,0.1,119,0.118345401
0.1,3,0.5,0.5,120,0.537791244
0.1,3,0.5,1,121,0.811378841
