ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2,Phi2*PSII_antenna_size*100
0.1,0.07,0.1,0.1,0,0.473304821,4.73304821
0.1,0.07,0.1,0.5,1,0.63274756,6.3274756000000005
0.1,0.07,0.1,1.0,2,0.63164233,6.3164233
0.1,0.07,0.1,4.0,3,0.63252597,6.325259700000001
0.1,0.07,0.1,6.0,4,0.633452032,6.33452032
0.1,0.07,0.1,8.0,5,0.634400844,6.34400844
0.1,0.07,0.1,10.0,6,0.635363158,6.353631580000001
0.1,0.07,0.3,0.1,7,0.161606718,4.84820154
0.1,0.07,0.3,0.5,8,0.3916709,11.750126999999999
0.1,0.07,0.3,1.0,9,0.397139559,11.914186769999999
0.1,0.07,0.3,4.0,10,0.400282168,12.008465039999999
0.1,0.07,0.3,6.0,11,0.401331724,12.03995172
0.1,0.07,0.3,8.0,12,0.402377131,12.071313929999999
0.1,0.07,0.3,10.0,13,0.403335843,12.100075290000001
0.1,0.07,0.5,0.1,14,0.097231173,4.86155865
0.1,0.07,0.5,0.5,15,0.242121765,12.106088249999999
0.1,0.07,0.5,1.0,16,0.246409471,12.320473549999999
0.1,0.07,0.5,4.0,17,0.248743984,12.4371992
0.1,0.07,0.5,6.0,18,0.249567676,12.4783838
0.1,0.07,0.5,8.0,19,0.250204484,12.5102242
0.1,0.07,0.5,10.0,20,0.250952947,12.547647349999998
0.1,0.07,0.7,0.1,21,0.069526376,4.86684632
0.1,0.07,0.7,0.5,22,0.171807106,12.026497419999998
0.1,0.07,0.7,1.0,23,0.174847983,12.23935881
0.1,0.07,0.7,4.0,24,0.176557416,12.35901912
0.1,0.07,0.7,6.0,25,0.17713653,12.399557099999999
0.1,0.07,0.7,8.0,26,0.177706268,12.439438759999998
0.1,0.07,0.7,10.0,27,0.178210581,12.47474067
0.1,0.07,0.9,0.1,28,0.054104542,4.86940878
0.1,0.07,0.9,0.5,29,0.132765298,11.94887682
0.1,0.07,0.9,1.0,30,0.13490877,12.141789300000001
0.1,0.07,0.9,4.0,31,0.136275961,12.26483649
0.1,0.07,0.9,6.0,32,0.136786428,12.31077852
0.1,0.07,0.9,8.0,33,0.137178428,12.34605852
0.1,0.07,0.9,10.0,34,0.137628128,12.386531519999998
0.1,0.1,0.1,0.1,35,0.492023876,4.920238760000001
0.1,0.1,0.1,0.5,36,0.653089118,6.530891180000001
0.1,0.1,0.1,1.0,37,0.65156524,6.5156524000000005
0.1,0.1,0.1,4.0,38,0.652310851,6.52310851
0.1,0.1,0.1,6.0,39,0.653213023,6.53213023
0.1,0.1,0.1,8.0,40,0.65414258,6.541425800000001
0.1,0.1,0.1,10.0,41,0.655073998,6.55073998
0.1,0.1,0.3,0.1,42,0.167559637,5.02678911
0.1,0.1,0.3,0.5,43,0.507537513,15.22612539
0.1,0.1,0.3,1.0,44,0.516565577,15.49696731
0.1,0.1,0.3,4.0,45,0.519522818,15.585684539999999
0.1,0.1,0.3,6.0,46,0.520678825,15.620364749999998
0.1,0.1,0.3,8.0,47,0.521783894,15.653516819999998
0.1,0.1,0.3,10.0,48,0.522882398,15.686471939999999
0.1,0.1,0.5,0.1,49,0.10077274,5.038637
0.1,0.1,0.5,0.5,50,0.333005024,16.6502512
0.1,0.1,0.5,1.0,51,0.346207526,17.310376299999998
0.1,0.1,0.5,4.0,52,0.349618527,17.48092635
0.1,0.1,0.5,6.0,53,0.350630734,17.5315367
0.1,0.1,0.5,8.0,54,0.351577328,17.578866400000003
0.1,0.1,0.5,10.0,55,0.352424497,17.62122485
0.1,0.1,0.7,0.1,56,0.072046666,5.04326662
0.1,0.1,0.7,0.5,57,0.24056633,16.8396431
0.1,0.1,0.7,1.0,58,0.251007957,17.57055699
0.1,0.1,0.7,4.0,59,0.253772481,17.76407367
0.1,0.1,0.7,6.0,60,0.25453352,17.8173464
0.1,0.1,0.7,8.0,61,0.255261715,17.86832005
0.1,0.1,0.7,10.0,62,0.255928995,17.915029649999997
0.1,0.1,0.9,0.1,63,0.056066024,5.04594216
0.1,0.1,0.9,0.5,64,0.186750968,16.80758712
0.1,0.1,0.9,1.0,65,0.194500822,17.50507398
0.1,0.1,0.9,4.0,66,0.196750764,17.70756876
0.1,0.1,0.9,6.0,67,0.19738002,17.7642018
0.1,0.1,0.9,8.0,68,0.197975793,17.81782137
0.1,0.1,0.9,10.0,69,0.198546772,17.869209480000002
0.1,1.0,0.1,0.1,70,0.545036976,5.45036976
0.1,1.0,0.1,0.5,71,0.810555177,8.105551770000002
0.1,1.0,0.1,1.0,72,0.800971651,8.00971651
0.1,1.0,0.1,4.0,73,0.801388177,8.013881770000001
0.1,1.0,0.1,6.0,74,0.801858672,8.018586720000002
0.1,1.0,0.1,8.0,75,0.80236425,8.0236425
0.1,1.0,0.1,10.0,76,0.802868274,8.02868274
0.1,1.0,0.3,0.1,77,0.186831327,5.604939809999999
0.1,1.0,0.3,0.5,78,0.77597991,23.2793973
0.1,1.0,0.3,1.0,79,0.774732549,23.241976469999997
0.1,1.0,0.3,4.0,80,0.733059393,21.99178179
0.1,1.0,0.3,6.0,81,0.733851786,22.01555358
0.1,1.0,0.3,8.0,82,0.734741575,22.04224725
0.1,1.0,0.3,10.0,83,0.735485658,22.06456974
0.1,1.0,0.5,0.1,84,0.112419563,5.62097815
0.1,1.0,0.5,0.5,85,0.519473755,25.973687750000003
0.1,1.0,0.5,1.0,86,0.767882611,38.39413055
0.1,1.0,0.5,4.0,87,0.695504663,34.77523315
0.1,1.0,0.5,6.0,88,0.696295495,34.81477475
0.1,1.0,0.5,8.0,89,0.6972456,34.86228
0.1,1.0,0.5,10.0,90,0.698244866,34.9122433
0.1,1.0,0.7,0.1,91,0.080385367,5.626975689999999
0.1,1.0,0.7,0.5,92,0.375400334,26.278023379999997
0.1,1.0,0.7,1.0,93,0.683930821,47.87515747
0.1,1.0,0.7,4.0,94,0.67289212,47.1024484
0.1,1.0,0.7,6.0,95,0.673633285,47.15432995
0.1,1.0,0.7,8.0,96,0.674537044,47.21759308
0.1,1.0,0.7,10.0,97,0.675519344,47.286354079999995
0.1,1.0,0.9,0.1,98,0.062557315,5.63015835
0.1,1.0,0.9,0.5,99,0.293226845,26.390416050000002
0.1,1.0,0.9,1.0,100,0.55486693,49.9380237
0.1,1.0,0.9,4.0,101,0.657763398,59.19870582000001
0.1,1.0,0.9,6.0,102,0.658414753,59.25732777
0.1,1.0,0.9,8.0,103,0.659353934,59.341854059999996
0.1,1.0,0.9,10.0,104,0.660335498,59.430194820000004
0.1,3.0,0.1,0.1,105,0.566269689,5.662696889999999
0.1,3.0,0.1,0.5,106,0.826947842,8.26947842
0.1,3.0,0.1,1.0,107,0.825315676,8.253156760000001
0.1,3.0,0.1,4.0,108,0.825465791,8.25465791
0.1,3.0,0.1,6.0,109,0.825568188,8.255681880000001
0.1,3.0,0.1,8.0,110,0.825667361,8.256673610000002
0.1,3.0,0.1,10.0,111,0.825763495,8.25763495
0.1,3.0,0.3,0.1,112,0.196461916,5.893857479999999
0.1,3.0,0.3,0.5,113,0.794139302,23.82417906
0.1,3.0,0.3,1.0,114,0.819616401,24.588492029999998
0.1,3.0,0.3,4.0,115,0.801399604,24.04198812
0.1,3.0,0.3,6.0,116,0.801846477,24.05539431
0.1,3.0,0.3,8.0,117,0.802311897,24.06935691
0.1,3.0,0.3,10.0,118,0.802798943,24.083968289999998
0.1,3.0,0.5,0.1,119,0.118345401,5.91727005
0.1,3.0,0.5,0.5,120,0.537791244,26.8895622
0.1,3.0,0.5,1.0,121,0.811378841,40.568942050000004
0.1,3.0,0.5,4.0,122,0.774284634,38.7142317
0.1,3.0,0.5,6.0,123,0.774904585,38.74522925
0.1,3.0,0.5,8.0,124,0.775571065,38.778553249999995
0.1,3.0,0.5,10.0,125,0.776294428,38.8147214
0.1,3.0,0.7,0.1,126,0.084659386,5.92615702
